话题	label	热度	index	在榜日期	在榜时间
中华人民共和国外交部郑重声明	hot	4762125	0	20260713	20260713_00:01:53
6月新增新冠确诊7.9万例	hot	4752125	1	20260713	20260713_00:01:53
鹿晗 司晓迪	hot	3979583	2	20260713	20260713_00:01:53
台风巴威登陆	hot	3535683	3	20260713	20260713_00:01:53
长征十号乙火箭回收成功		3456461	4	20260713	20260713_00:01:53
阿根廷3-1瑞士进4强	hot	3344249	5	20260713	20260713_00:01:53
隋坡差评餐厅老板逆天回怼	hot	3301180	6	20260713	20260713_00:01:53
长沙通报体育局员工恶意霸占车位	hot	3165154	7	20260713	20260713_00:01:53
英格兰2-1淘汰挪威		3070635	8	20260713	20260713_00:01:53
晋江鞋厂火灾已致 28 死		2962235	9	20260713	20260713_00:01:53
丘成桐回应「清退」事件		2798319	10	20260713	20260713_00:01:53
长沙占车位体育局干部被停职		2730817	11	20260713	20260713_00:01:53
哈兰德告别世界杯		2720648	12	20260713	20260713_00:01:53
南非世界杯球员杰登亚当斯离世		2506843	13	20260713	20260713_00:01:53
瑞士前锋假摔被罚下		2442963	14	20260713	20260713_00:01:53
功夫女足票房突破1亿		2426026	15	20260713	20260713_00:01:53
小米分批持续裁员		2259624	16	20260713	20260713_00:01:53
内蒙古 16 岁高中生因拍门玩闹被捅杀		2216712	17	20260713	20260713_00:01:53
日本可回收火箭仅飞 11 米		2151022	18	20260713	20260713_00:01:53
上班隐形成本其实很高		2099025	19	20260713	20260713_00:01:53
高考分数排名		1896264	20	20260713	20260713_00:01:53
HLE 夺得季中赛冠军		1841527	21	20260713	20260713_00:01:53
世界杯考虑扩军到64队		1712495	22	20260713	20260713_00:01:53
辉瑞前总部大楼恐局部坍塌		1655563	23	20260713	20260713_00:01:53
《三国第一部：争洛阳》预售票房惨淡		1467717	24	20260713	20260713_00:01:53
香港扫黄被捕女子最小16岁		1455237	25	20260713	20260713_00:01:53
HLE vs LYON		1390657	26	20260713	20260713_00:01:53
问界 M8 致车主行踪暴露余承东发飙		1372789	27	20260713	20260713_00:01:53
安徽大学回应录用学术不端博士		1349558	28	20260713	20260713_00:01:53
大连理工领导卧底招生群挑拨关系		1331762	29	20260713	20260713_00:01:53
世界杯四强出炉		1325668	29	20260713	20260713_00:11:53
赛力斯预计半年净亏损15-18亿		1328725	29	20260713	20260713_00:21:46
西班牙2-1比利时		2278845	17	20260713	20260713_00:41:56
智谱创始人发内部信		1366673	29	20260713	20260713_02:32:01
陈都灵喊张婧仪公主		1403946	28	20260713	20260713_02:41:57
哈兰德吐槽姆巴佩点球被叫停		2012611	20	20260713	20260713_02:51:51
福建晋江鞋厂火灾		1499607	28	20260713	20260713_02:51:51
姆巴佩受伤		1531622	26	20260713	20260713_03:21:52
长沙通报体育局员工恶意霸占车位		3107690	6	20260713	20260713_03:41:55
台风巴威登陆		3400129	3	20260713	20260713_04:11:52
阿根廷3-1瑞士进4强		3349452	3	20260713	20260713_06:11:50
