话题	label	热度	index	在榜日期	在榜时间
曾硬刚王健林的80后干部徐刘蔚被查	hot	3670556	0	20260719	20260719_00:01:49
重庆彭水发生山体崩塌	hot	3186455	1	20260719	20260719_00:01:49
马龙许昕晋级全锦赛男双四强	new	3133482	2	20260719	20260719_00:01:49
日本护士将排泄物混入患者输液	hot	3080509	3	20260719	20260719_00:01:49
人生选择模拟器	activity	3009236	4	20260719	20260719_00:01:49
重庆彭水大批骑手坚守救援一线	new	2973599	5	20260719	20260719_00:01:49
阿根廷 2-1 英格兰		2937963	6	20260719	20260719_00:01:49
西班牙阿根廷谁能夺冠		2930285	7	20260719	20260719_00:01:49
邹市明夫妇2亿理财亏损始末		2918117	8	20260719	20260719_00:01:49
莫言之女管笑笑被爆论文抄袭		2724759	9	20260719	20260719_00:01:49
KIMI K3模型正式上线		2591757	10	20260719	20260719_00:01:49
英国将敬业集团旗下英钢国有化		2505307	11	20260719	20260719_00:01:49
西班牙vs阿根廷		2387465	12	20260719	20260719_00:01:49
法国vs英格兰		2302993	13	20260719	20260719_00:01:49
法国季军战全替补阵容出战		2184360	14	20260719	20260719_00:01:49
服务员传话多次叫女顾客去包厢		2115561	15	20260719	20260719_00:01:49
英国将中资控股的英国钢铁公司国有化		2009522	16	20260719	20260719_00:01:49
《歌手 2026》第九期		1987447	17	20260719	20260719_00:01:49
曝气象局会卡40℃不报		1959832	18	20260719	20260719_00:01:49
高考分数排名		1949906	19	20260719	20260719_00:01:49
《功夫女足》热映		1832240	20	20260719	20260719_00:01:49
邹市明夫妇被质疑卖惨引流		1830494	21	20260719	20260719_00:01:49
西班牙2-0法国		1760526	22	20260719	20260719_00:01:49
Kimi-K3 灰度测试		1668842	23	20260719	20260719_00:01:49
韩国股市连日暴跌暴涨过山车		1524415	24	20260719	20260719_00:01:49
《功夫女足》7 天票房破 10 亿		1498598	25	20260719	20260719_00:01:49
伊朗多地遭袭击		1496488	26	20260719	20260719_00:01:49
前国脚申思参与青训掌掴小球员		1424420	27	20260719	20260719_00:01:49
LPL 队伍全部出局		1404256	28	20260719	20260719_00:01:49
2026年菲尔兹奖		1393831	29	20260719	20260719_00:01:49
曝大批演员计划开演唱会		2022335	15	20260719	20260719_00:21:37
重庆彭水山体垮塌		1726791	23	20260719	20260719_00:41:34
王楚钦/孙颖莎混双无缘决赛		1448448	29	20260719	20260719_00:51:32
重庆彭水大批骑手坚守救援一线		2265791	12	20260719	20260719_01:21:34
任泽平VIP付费会员群暴雷		1376091	29	20260719	20260719_01:21:34
长鑫科技兆易创新		1468256	28	20260719	20260719_01:31:42
雀骨		1623951	23	20260719	20260719_01:51:35
马龙许昕晋级全锦赛男双四强		2269361	12	20260719	20260719_02:01:31
曾硬刚王健林的80后干部被查		1974415	17	20260719	20260719_02:51:40
重庆彭水发生山体崩塌		3156846	1	20260719	20260719_03:11:37
BLG申请「世一上」商标被驳回		1799913	21	20260719	20260719_03:21:35
长鑫科技中1签能赚多少钱	hot	2227548	14	20260719	20260719_04:01:49
詹姆斯下家		1899930	19	20260719	20260719_04:01:49
kimik3发布		1729180	22	20260719	20260719_04:41:32
美军宣布对伊朗开始新一波打击		2010722	17	20260719	20260719_07:01:48
法国vs英格兰	new	3696508	0	20260719	20260719_07:21:31
法国 4-6 英格兰	hot	3696731	0	20260719	20260719_07:31:46
法国队对季军赛毫无动力		2091181	17	20260719	20260719_07:51:32
法国队疑再次出现内讧		1635348	27	20260719	20260719_07:51:32
姆巴佩世界杯历史射手王	new	3431155	2	20260719	20260719_08:31:39
黄总请你去包厢事件系误会	hot	3147049	4	20260719	20260719_09:11:33
LV老板被追缴巨额税款		1839123	22	20260719	20260719_09:11:33
曲婉婷患癌		1782695	24	20260719	20260719_09:51:32
服务员传话多次叫女顾客去包厢	new	2706462	11	20260719	20260719_10:41:40
世界杯		1551640	29	20260719	20260719_10:41:40
服务员传话多次叫女顾客去包厢	hot	2737266	11	20260719	20260719_10:51:35
邹市明夫妇2亿理财亏损始末	hot	3039192	6	20260719	20260719_12:01:31
官方回应气象台不敢报40度		1484061	29	20260719	20260719_12:01:31
新冠又来了		1410399	29	20260719	20260719_12:31:45
女孩囤积大量吧唧致甲醛中毒		1453109	28	20260719	20260719_14:21:36
马龙许昕晋级男双决赛	new	3212875	3	20260719	20260719_14:31:45
姆巴佩世界杯历史射手王		2458371	14	20260719	20260719_14:31:45
王楚钦孙颖莎晋级全锦赛16强		1406005	29	20260719	20260719_15:51:42
曝大批演员计划开演唱会	hot	3210068	6	20260719	20260719_16:31:39
莫言之女管笑笑被爆论文抄袭	hot	2935251	8	20260719	20260719_16:31:39
中国全球好感度首超美国		1409380	29	20260719	20260719_16:31:39
