话题	label	热度	index	在榜日期	在榜时间
曝王虹邓煜疑似获 2026 菲尔兹奖	hot	5633231	0	20260715	20260715_00:02:00
人大撤销蒋方舟硕士学位	hot	5623231	1	20260715	20260715_00:02:00
大连理工领导卧底招生群挑拨关系	hot	3875257	2	20260715	20260715_00:02:00
冉莹颖邹市明三次离婚没离成	hot	3816892	3	20260715	20260715_00:02:00
副局长自购10亿token手搓防汛小程序	hot	3655948	4	20260715	20260715_00:02:00
LV起诉国家知产局	hot	3495004	5	20260715	20260715_00:02:00
内蒙古 16 岁高中生因拍门玩闹被捅杀	hot	3423549	6	20260715	20260715_00:02:00
长沙占车位体育局干部被停职	hot	3065990	7	20260715	20260715_00:02:00
阿根廷3-1瑞士进4强		2719357	8	20260715	20260715_00:02:00
晋江鞋厂火灾已致 28 死		2667446	9	20260715	20260715_00:02:00
HLE 夺得季中赛冠军		2549433	10	20260715	20260715_00:02:00
蒋方舟天才少女人设		2511707	11	20260715	20260715_00:02:00
赛力斯预计半年净亏损15-18亿		2446955	12	20260715	20260715_00:02:00
《功夫女足》预测票房大幅飙升		2393155	13	20260715	20260715_00:02:00
邹市明夫妇投资理财亏损2亿		2135595	14	20260715	20260715_00:02:00
长鑫近2万员工每人或可分超百万		2062170	15	20260715	20260715_00:02:00
万元 AI 研学营被曝圈钱糊弄		1945850	16	20260715	20260715_00:02:00
辽宁多地暴雨		1880354	17	20260715	20260715_00:02:00
世界杯考虑扩军到64队		1860461	18	20260715	20260715_00:02:00
女干部占车位通报被指拉偏架		1819677	19	20260715	20260715_00:02:00
西班牙vs法国		1791821	20	20260715	20260715_00:02:00
霍尔木兹海峡再度暂时关闭		1775279	21	20260715	20260715_00:02:00
冉莹颖邹市明《姐姐当家 2》表现		1766723	22	20260715	20260715_00:02:00
英格兰2-1淘汰挪威		1741738	23	20260715	20260715_00:02:00
功夫女足票房突破1亿		1725459	24	20260715	20260715_00:02:00
香港资深电影人施南生去世		1705334	25	20260715	20260715_00:02:00
高考分数排名		1678870	26	20260715	20260715_00:02:00
杨瀚森夏季联赛18+10+5		1553071	27	20260715	20260715_00:02:00
南海仲裁案裁决新批驳报告发布		1533505	28	20260715	20260715_00:02:00
八仙		1530993	29	20260715	20260715_00:02:00
法国 vs 西班牙		1635921	27	20260715	20260715_00:32:09
特朗普宣布重新开战		1542811	29	20260715	20260715_01:21:55
美参议员格雷厄姆突发急病死亡		1560533	29	20260715	20260715_01:31:56
长沙占车位体育局干部被停职		3066984	7	20260715	20260715_01:52:01
蒋方舟道歉		1550810	29	20260715	20260715_01:52:01
法国vs西班牙		2486509	12	20260715	20260715_02:02:06
阿根廷队想给广西捐赠物资		1536238	28	20260715	20260715_02:41:51
英格兰vs阿根廷		2082006	16	20260715	20260715_02:52:04
法国 vs 西班牙	new	3801553	3	20260715	20260715_03:02:11
冉莹颖为邹市明保留脐带血		1534287	29	20260715	20260715_03:21:59
乐事被曝薯片中吃出蓝薯片异物		1471299	29	20260715	20260715_04:32:08
李小冉 徐佳宁		1476180	29	20260715	20260715_04:51:56
韩国散户杠杆爆仓		2530674	11	20260715	20260715_06:02:11
副局长自购10亿token手搓防汛小程序		2571409	10	20260715	20260715_06:21:59
厨师离职被要求交出烹饪配方		2284525	16	20260715	20260715_06:41:55
冉莹颖邹市明三次离婚没离成		3521899	4	20260715	20260715_07:01:58
法国 vs 西班牙	hot	2913413	7	20260715	20260715_07:01:58
西班牙 2-0 法国	hot	4527665	1	20260715	20260715_07:31:52
功夫女足		1853386	19	20260715	20260715_07:51:53
内蒙古 16 岁高中生因拍门玩闹被捅杀		3381166	6	20260715	20260715_08:21:44
长鑫近2万员工每人可分超百万	hot	2194458	18	20260715	20260715_09:21:58
《功夫女足》热映		1475297	29	20260715	20260715_09:52:04
施南生徐克相恋三十六年		1477503	28	20260715	20260715_10:02:04
2026 上半年GDP增长 4.7%	new	4213244	0	20260715	20260715_10:11:51
2026 年上半年 GDP 同比增长 4.7%	new	4203244	3	20260715	20260715_10:11:51
贾浅浅硕士学位被撤销	new	4193256	3	20260715	20260715_10:21:55
2026 上半年 GDP 增长 4.7%	new	4158953	2	20260715	20260715_10:32:03
特朗普宣布重新开战	hot	1961314	18	20260715	20260715_10:32:03
特朗普命令全国降半旗		1473258	27	20260715	20260715_11:02:07
孙颖莎杜莎蜡像		1445347	29	20260715	20260715_11:02:07
