话题	label	热度	index	在榜日期	在榜时间
广西强降雨已致 6 人死亡	hot	4518174	0	20260708	20260708_00:02:01
阿根廷 vs 埃及	hot	4513174	1	20260708	20260708_00:02:01
广西南宁一水库坝体出现缺口	hot	4508174	2	20260708	20260708_00:02:01
LV 被玩梗「厕所通风窗同款」	hot	4078501	3	20260708	20260708_00:02:01
知名经济学家高善文去世	hot	3863664	4	20260708	20260708_00:02:01
中国海军潜射战略导弹试射成功	hot	3648828	5	20260708	20260708_00:02:01
司晓迪疑曝与鹿晗暧昧照	hot	3432540	6	20260708	20260708_00:02:01
多益网络徐波称女儿被诱拐走	hot	3349750	7	20260708	20260708_00:02:01
湖北黄冈鄂州出现龙卷风	hot	3053552	8	20260708	20260708_00:02:01
iPhone18 Pro Max 银灰色意外泄露		2986720	9	20260708	20260708_00:02:01
中公教育因股民荒诞赌约涨停		2783289	10	20260708	20260708_00:02:01
美国 1-4 比利时		2678571	11	20260708	20260708_00:02:01
巴西1-2挪威		2665912	12	20260708	20260708_00:02:01
广西洪水致养蛇场眼镜蛇逃逸	hot	2596215	13	20260708	20260708_00:02:01
美国前锋巴洛贡红牌禁赛被「缓刑」		2506634	14	20260708	20260708_00:02:01
前华为天才少年李博杰吐槽 DeepSeek 面试		2495799	15	20260708	20260708_00:02:01
雪糕遭大范围滞销		2488521	16	20260708	20260708_00:02:01
十人英格兰3-2淘汰墨西哥		2407894	17	20260708	20260708_00:02:01
佛得角邀国足踢友谊赛被婉拒		2397110	18	20260708	20260708_00:02:01
网传浙大火速把校徽给注册了		2108949	19	20260708	20260708_00:02:01
蒋方舟回应遭清华教授举报论文造假		1911350	20	20260708	20260708_00:02:01
LV在中国密集维权		1864991	21	20260708	20260708_00:02:01
网友吐槽等退休是场骗局		1811814	22	20260708	20260708_00:02:01
恋与深空取消上线敖尹		1755766	23	20260708	20260708_00:02:01
C 罗世界杯最后一舞		1748161	24	20260708	20260708_00:02:01
高考分数排名		1710576	25	20260708	20260708_00:02:01
《功夫女足》定档		1534287	26	20260708	20260708_00:02:01
高考数据通		1382082	27	20260708	20260708_00:02:01
金山办公回应「WPS滥收费」		1341342	28	20260708	20260708_00:02:01
茉莉奶白侵权 LV 被判赔 1030 万		1303651	29	20260708	20260708_00:02:01
马未都回应观复博物馆疑现被盗佛像		1444686	27	20260708	20260708_00:12:07
葡萄牙 0-1 西班牙		2820557	10	20260708	20260708_00:51:54
冉莹颖邹市明三次离婚没离成		2362514	18	20260708	20260708_01:12:01
台风巴威		1388528	29	20260708	20260708_01:51:53
北大包揽丘成桐数学竞赛前四		1383162	29	20260708	20260708_02:01:59
比利时官方嘲讽美国		2491885	16	20260708	20260708_03:21:50
国际足联主席回应红牌禁赛暂缓		1591386	27	20260708	20260708_03:21:50
知名经济学家高善文去世		2201665	16	20260708	20260708_04:02:06
鹿晗疑似出轨		1371684	29	20260708	20260708_04:02:06
世界杯		1729445	24	20260708	20260708_04:21:54
美国门将超级巨大失误		1375542	29	20260708	20260708_04:21:54
湖北黄冈鄂州出现龙卷风		3061534	5	20260708	20260708_04:41:51
广西洪水致养蛇场眼镜蛇逃逸		2734099	9	20260708	20260708_04:41:51
鹿晗 司晓迪		1365552	29	20260708	20260708_04:51:43
多益网络徐波称女儿被诱拐走		3388202	4	20260708	20260708_05:11:56
中国海军潜射战略导弹试射成功		3487916	3	20260708	20260708_05:51:55
广西南宁一水库坝体出现缺口		3491952	2	20260708	20260708_06:51:56
超强级别台风巴威持续逼近		1355910	28	20260708	20260708_07:11:48
鹿晗 关晓彤		1361607	29	20260708	20260708_07:21:50
阿根廷 3-2 埃及	hot	3518818	0	20260708	20260708_07:31:44
瑞士 4-3 哥伦比亚	new	3473631	2	20260708	20260708_07:41:55
1TB固态硬盘涨至950元		1427370	29	20260708	20260708_08:51:52
司晓迪	hot	2121838	19	20260708	20260708_09:11:49
北京暴雨		1898390	22	20260708	20260708_09:41:48
老人月入2万与儿媳争财产败诉		2262407	17	20260708	20260708_10:11:55
C罗持球推进距离负5.7米		1559718	28	20260708	20260708_10:21:53
四川宜宾高县 5.0 级地震	new	3557093	1	20260708	20260708_10:32:04
曝鹿晗出轨		1531072	29	20260708	20260708_10:51:48
恋与深空		1413540	29	20260708	20260708_11:21:51
国家一级文物现「TCL 电视」字样		2461336	15	20260708	20260708_11:41:53
比利时官方嘲讽美国	hot	2968763	9	20260708	20260708_13:02:02
埃及球员怒喷裁判不公		1434181	29	20260708	20260708_13:21:52
瑞士 4-3 哥伦比亚		2251825	16	20260708	20260708_13:41:57
脱口秀演员唐香玉拒不道歉被强执		1421947	29	20260708	20260708_14:02:13
广西横州一名被蛇咬伤女子离世	new	3513048	2	20260708	20260708_14:31:59
台风巴威登陆地基本锁定闽浙	new	3308491	4	20260708	20260708_15:11:56
埃及球员怒喷裁判不公	new	2899694	9	20260708	20260708_15:11:56
埃及足协正式申诉 要求调查主裁判		1809545	25	20260708	20260708_15:11:56
四川宜宾高县 5.0 级地震	hot	2540684	14	20260708	20260708_16:32:03
阿根廷逆转绝杀埃及	hot	3428859	2	20260708	20260708_16:41:52
中公教育因股民荒诞赌约涨停	hot	2910530	6	20260708	20260708_16:51:55
华为天才少年李博杰被控诈骗		1701436	27	20260708	20260708_17:51:57
