话题	label	热度	index	在榜日期	在榜时间
马龙许昕全锦赛男双夺冠	hot	4861880	0	20260720	20260720_00:01:46
黄总请你去包厢事件系误会	hot	4851880	1	20260720	20260720_00:01:46
曾硬刚王健林的80后干部徐刘蔚被查	hot	3665548	2	20260720	20260720_00:01:46
法国 4-6 英格兰	hot	3567171	3	20260720	20260720_00:01:46
人生选择模拟器	activity	3504045	4	20260720	20260720_00:01:46
日本护士将排泄物混入患者输液	hot	3440918	5	20260720	20260720_00:01:46
曝大批演员计划开演唱会	hot	3342668	6	20260720	20260720_00:01:46
西班牙vs阿根廷	hot	3116184	7	20260720	20260720_00:01:46
重庆彭水发生山体崩塌		2916094	8	20260720	20260720_00:01:46
阿根廷 2-1 英格兰		2700340	9	20260720	20260720_00:01:46
西班牙阿根廷谁能夺冠		2683291	10	20260720	20260720_00:01:46
英国将敬业集团旗下英钢国有化		2588994	11	20260720	20260720_00:01:46
KIMI K3模型正式上线		2567542	12	20260720	20260720_00:01:46
王楚钦/孙颖莎混双无缘决赛		2522010	13	20260720	20260720_00:01:46
马龙许昕晋级男双决赛		2508793	14	20260720	20260720_00:01:46
曝气象局会卡40℃不报		2483768	15	20260720	20260720_00:01:46
杭州上海迎特大暴雨		2453656	16	20260720	20260720_00:01:46
曲婉婷自曝得乳腺癌		2255789	17	20260720	20260720_00:01:46
女孩囤积大量吧唧致甲醛中毒		2253393	18	20260720	20260720_00:01:46
旭旭宝宝不看周星驰新片被网暴		2046537	19	20260720	20260720_00:01:46
西班牙 vs 阿根廷		1986460	20	20260720	20260720_00:01:46
邹市明夫妇被质疑卖惨引流		1984812	21	20260720	20260720_00:01:46
高考分数排名		1913605	22	20260720	20260720_00:01:46
笔试第一落选考生举报招聘违规		1907000	23	20260720	20260720_00:01:46
姆巴佩世界杯历史射手王		1783087	24	20260720	20260720_00:01:46
中国全球好感度首超美国		1781546	25	20260720	20260720_00:01:46
为何穿凉鞋的人越来越少了		1777939	26	20260720	20260720_00:01:46
前国脚申思参与青训掌掴小球员		1754001	27	20260720	20260720_00:01:46
官方回应气象台不敢报40度		1722677	28	20260720	20260720_00:01:46
韩国股市连日暴跌暴涨过山车		1697790	29	20260720	20260720_00:01:46
敬业钢铁发表声明正告英国政府		1660735	28	20260720	20260720_00:11:34
雀骨		1543962	29	20260720	20260720_00:11:34
杭州上海迎特大暴雨	hot	2477449	16	20260720	20260720_00:21:38
长鑫科技中1签能赚多少钱		2156273	19	20260720	20260720_00:21:38
西班牙 vs 阿根廷	hot	4900062	0	20260720	20260720_00:31:43
法国队疑再次出现内讧		1523297	29	20260720	20260720_00:51:40
kimik3发布		1692586	27	20260720	20260720_01:11:36
马来西亚宣布驱逐所有以色列人		1529969	29	20260720	20260720_01:31:39
法国 4-6 英格兰		3504135	5	20260720	20260720_02:21:33
演员王侃去世		1457723	29	20260720	20260720_02:31:53
法国队对季军赛毫无动力		1984052	22	20260720	20260720_02:51:34
泽连斯基拧瓶盖疑违反欧盟规定		1409788	29	20260720	20260720_03:21:39
阿根廷		1408156	29	20260720	20260720_03:51:36
伊朗多地遭袭击		1380564	29	20260720	20260720_04:41:35
美军宣布对伊朗开始新一波打击		1985010	23	20260720	20260720_05:21:20
曾硬刚王健林的80后干部徐刘蔚被查		3530460	3	20260720	20260720_05:31:49
情侣酒店裸睡遭陌生人闯入		1366673	29	20260720	20260720_06:01:48
西班牙 1-0 阿根廷	hot	4415038	0	20260720	20260720_06:11:32
日本护士将排泄物混入患者输液		3354620	6	20260720	20260720_06:21:29
世界杯		1720312	26	20260720	20260720_06:21:29
西班牙1-0阿根廷夺世界杯冠军	hot	4389788	0	20260720	20260720_06:31:27
LV老板被追缴巨额税款	hot	2161112	16	20260720	20260720_06:31:27
索尼取消实体盘玩家怒火升级		1348976	29	20260720	20260720_06:31:27
王楚钦孙颖莎晋级全锦赛16强		1496234	27	20260720	20260720_07:01:45
《八仙！》票房破 2 亿		1341934	29	20260720	20260720_07:41:31
姆巴佩获世界杯金靴	new	3776569	1	20260720	20260720_08:01:56
罗德里获世界杯金球奖	new	3541805	5	20260720	20260720_08:01:56
马龙许昕全锦赛男双夺冠		3112343	8	20260720	20260720_08:01:56
阿根廷队未能按计划前往决赛城市		1326893	29	20260720	20260720_08:01:56
重庆彭水山体垮塌		1305197	29	20260720	20260720_08:41:45
任泽平VIP付费会员群暴雷		1282506	29	20260720	20260720_09:11:41
曲婉婷患癌		1897116	23	20260720	20260720_10:11:44
《澎湖海战》疑似撤档		1443741	29	20260720	20260720_10:41:34
7 月 LPR 出炉	new	3310459	7	20260720	20260720_10:51:37
恩佐世界杯决赛染红被罚下		1566056	29	20260720	20260720_11:31:46
两家央企宣布增持中国股票		1541657	28	20260720	20260720_12:11:38
DeepSeek V4 正式版即将发布		1515963	29	20260720	20260720_12:11:38
旭旭宝宝不看周星驰新片被网暴	hot	2750179	10	20260720	20260720_12:51:34
