话题	label	热度	index	在榜日期	在榜时间
西班牙领奖时阿根廷全队背过身	hot	4881181	0	20260723	20260723_00:01:56
影视飓风回应被骂装松弛感白人	hot	3325462	1	20260723	20260723_00:01:56
旭旭宝宝不看周星驰新片被网暴	hot	3302065	2	20260723	20260723_00:01:56
警方通报高中生被刺案发地不属涉黄场所	new	3271333	3	20260723	20260723_00:01:56
人生选择模拟器	activity	3255967	4	20260723	20260723_00:01:56
656 分考生弃 985 选福耀科大	hot	3240601	5	20260723	20260723_00:01:56
雅可比猜想被AI证伪	hot	3165046	6	20260723	20260723_00:01:56
DeepSeek V4 正式版即将发布	hot	2964989	7	20260723	20260723_00:01:56
怡颗莓被指检出 8 种永久性化学物		2884638	8	20260723	20260723_00:01:56
港媒曝演员谢贤去世		2864167	9	20260723	20260723_00:01:56
西班牙1-0阿根廷夺世界杯冠军		2644742	10	20260723	20260723_00:01:56
肯德基炸鸡配西瓜引美网友热议		2532286	11	20260723	20260723_00:01:56
2026年菲尔兹奖		2405284	12	20260723	20260723_00:01:56
深圳地铁安检		2377039	13	20260723	20260723_00:01:56
成都龙泉驿区仓库起火		2235921	14	20260723	20260723_00:01:56
KIMI K3模型正式上线		2176703	15	20260723	20260723_00:01:56
冉莹颖向邹市明提出婚内收入AA制		2172420	16	20260723	20260723_00:01:56
日元跌破1美元兑163日元关口		2102934	17	20260723	20260723_00:01:56
14 岁少年偷偷纹满双腿		2016121	18	20260723	20260723_00:01:56
乒超禁用外协强制 U19		2005080	19	20260723	20260723_00:01:56
成龙近3年社交账号尽是悼念好友		1983159	20	20260723	20260723_00:01:56
乌军总司令西尔斯基被解职		1949906	21	20260723	20260723_00:01:56
情侣用 AI鉴菌竟八成有毒		1933140	22	20260723	20260723_00:01:56
全美出现数据中心出售潮		1926583	23	20260723	20260723_00:01:56
耐克中国内地销售格局将大变		1845792	24	20260723	20260723_00:01:56
Kimi 员工震惊 OpenAI 算力		1776006	25	20260723	20260723_00:01:56
高考分数排名		1771629	26	20260723	20260723_00:01:56
长鑫科技打新弃购658万股	hot	1728975	27	20260723	20260723_00:01:56
马龙许昕全锦赛男双夺冠		1665255	28	20260723	20260723_00:01:56
Kimi K3陷入的蒸馏风波		1640667	29	20260723	20260723_00:01:56
长鑫科技打新弃购658万股		1733065	27	20260723	20260723_00:21:43
伊朗称袭击亚马逊巴林数据中心		1608137	29	20260723	20260723_00:31:53
宗馥莉18亿美元资产被冻结		1651572	29	20260723	20260723_01:31:41
DeepSeek V4 正式版即将发布		2987585	7	20260723	20260723_02:11:43
菲方围顶冲撞中方巡逻艇		2768067	10	20260723	20260723_02:21:34
张伟丽化妆后自己都不认识了		1619765	29	20260723	20260723_02:51:34
雅可比猜想被AI证伪		3138034	6	20260723	20260723_03:41:28
警方通报高中生被刺案发地不属涉黄场所		2269869	15	20260723	20260723_04:11:41
656 分考生弃 985 选福耀科大		3202167	3	20260723	20260723_05:21:40
旭旭宝宝不看周星驰新片被网暴		3241633	2	20260723	20260723_05:36:48
为何穿凉鞋的人越来越少了		1868669	25	20260723	20260723_06:21:40
甜馨疑似当姐姐了	hot	2738854	9	20260723	20260723_06:51:36
央视点名恋与深空		1670922	29	20260723	20260723_07:21:39
性交易发现避孕套脱落勒索8万		1865319	24	20260723	20260723_08:51:36
小红书被曝正主动联系相关老员工	new	3664556	1	20260723	20260723_09:21:33
男子被蚊子咬失血400ml		1697227	28	20260723	20260723_09:21:33
美军称对伊朗发动新一轮打击		1559941	29	20260723	20260723_09:21:33
小红书否认前员工举报致 IPO 受阻	hot	3664556	1	20260723	20260723_09:31:47
小红书否认前员工举报致IPO受阻		1567519	29	20260723	20260723_09:51:42
OpenAI模型「失控」入侵AI开源社区		1628231	29	20260723	20260723_11:21:42
台风「红霞」来了		1784652	27	20260723	20260723_11:31:44
冉莹颖拳馆项目被疑利益输送		1776732	29	20260723	20260723_12:01:46
2026年菲尔兹奖	hot	2807746	6	20260723	20260723_13:11:37
马来西亚宣布驱逐所有以色列人		1647363	29	20260723	20260723_13:21:31
长鑫科技弃购率		1633371	28	20260723	20260723_13:51:39
阿根廷主帅回应失利阴谋论		1573685	29	20260723	20260723_14:41:38
耐克将清退中国数千家线上经销商		1377732	29	20260723	20260723_15:11:42
菲方围顶冲撞中方巡逻艇	hot	1676885	26	20260723	20260723_15:21:39
梁文锋四小时会议内容		1399073	28	20260723	20260723_15:21:39
Faker 被任韩国名誉警察		1366673	29	20260723	20260723_15:31:47
张雪峰女儿再接手三家公司		1416962	27	20260723	20260723_15:41:32
小红书否认前员工举报致IPO受阻	hot	2523507	10	20260723	20260723_15:51:39
