话题	label	热度	index	在榜日期	在榜时间
人大通报未发现蒋方舟学术不端	new	3687847	0	20260706	20260706_00:01:56
王力宏演唱会摔倒 面部出血	hot	3677847	1	20260706	20260706_00:01:56
阿根廷3-2险胜佛得角	hot	3519704	2	20260706	20260706_00:01:56
iPhone18 Pro Max 银灰色意外泄露	hot	3517363	3	20260706	20260706_00:01:56
湖南一家5口惨遭灭门案告破	hot	3376330	4	20260706	20260706_00:01:56
蒋方舟回应遭清华教授举报论文造假		3049845	5	20260706	20260706_00:01:56
TSW3:1淘汰TES	hot	2843082	6	20260706	20260706_00:01:56
北京韩红爱心慈善基金会发说明		2823352	7	20260706	20260706_00:01:56
河南高考 699 分女生要去清华学医		2821519	8	20260706	20260706_00:01:56
西安赛格回应商户坠亡		2701901	9	20260706	20260706_00:01:56
巴拉圭门将赛后用球砸姆巴佩		2646607	10	20260706	20260706_00:01:56
王楚钦孙颖莎混双获亚军		2413324	11	20260706	20260706_00:01:56
极客湾麒麟9030芯片性能解析		2297190	12	20260706	20260706_00:01:56
加拿大 vs 摩洛哥		2265894	13	20260706	20260706_00:01:56
BLG 击败 T1		2182954	14	20260706	20260706_00:01:56
黑龙江一村大面积水稻疑被投毒		2059280	15	20260706	20260706_00:01:56
LV在中国密集维权		1916412	16	20260706	20260706_00:01:56
耿同学曝有人美国学术造假后入职浙大清华		1886498	17	20260706	20260706_00:01:56
罗永浩称没必要对电影人阴阳怪气		1851287	18	20260706	20260706_00:01:56
云南大理宾川4.4级地震		1832240	19	20260706	20260706_00:01:56
巴西 vs 挪威		1829619	20	20260706	20260706_00:01:56
中国男篮 vs 日本男篮 		1816545	21	20260706	20260706_00:01:56
诺奖得主全职加盟清华		1750709	22	20260706	20260706_00:01:56
郭宇欣 我和周也还不一定谁蹭谁呢		1745602	23	20260706	20260706_00:01:56
高考数据通		1516775	24	20260706	20260706_00:01:56
酒店推行24小时退房引热议		1421848	25	20260706	20260706_00:01:56
高考分数排名		1385853	26	20260706	20260706_00:01:56
国乒男单全军覆没	hot	1375348	27	20260706	20260706_00:01:56
马未都回应观复博物馆疑现被盗佛像		1277055	28	20260706	20260706_00:01:56
19岁男生扛楼让离世父母放心		1236532	29	20260706	20260706_00:01:56
梅里雪山惊现佛得角门将		1177052	29	20260706	20260706_00:41:45
国乒男单7人全部出局		1295315	29	20260706	20260706_00:51:43
世界杯		1616338	24	20260706	20260706_01:31:56
影视飓风 直播事故		2185973	14	20260706	20260706_01:51:48
清华大学一本科生被公告退学		1301712	29	20260706	20260706_02:21:47
TSW3:1淘汰TES		2933090	6	20260706	20260706_03:21:42
特立独行		1736543	24	20260706	20260706_03:31:53
巴西 vs 挪威	new	3620197	2	20260706	20260706_04:01:54
检察官的提案		1897656	20	20260706	20260706_04:11:47
人大通报未发现蒋方舟学术不端	hot	3010168	5	20260706	20260706_04:41:44
月入过万年薪也才12万		1620946	25	20260706	20260706_04:41:44
阿根廷3-2险胜佛得角		3385904	4	20260706	20260706_04:51:46
婆婆不带娃被儿媳打断四根肋骨		1106893	29	20260706	20260706_06:11:24
SK海力士单日市值蒸发超万亿		1158757	29	20260706	20260706_06:21:46
699分女孩的真心不该被嘲讽		1269585	29	20260706	20260706_06:41:49
日本市民大排长龙买中国相机		2273939	13	20260706	20260706_07:02:00
巴拉圭法国冲突		2050669	18	20260706	20260706_07:02:00
巴西1-2挪威	new	3531478	0	20260706	20260706_07:31:58
巴拉圭 扒拉龟		1216786	29	20260706	20260706_07:31:58
墨西哥 vs 英格兰	new	3500073	2	20260706	20260706_08:02:05
豆包、千问、元宝将下架智能体功能		2402664	14	20260706	20260706_08:11:49
经脉受损心气散了		2358830	15	20260706	20260706_08:11:49
恋与深空		1737012	23	20260706	20260706_08:21:44
野狗骨头		1163093	29	20260706	20260706_09:11:53
7月全国将有4次高温过程		1518959	26	20260706	20260706_09:41:45
墨西哥 vs 英格兰		1682942	21	20260706	20260706_10:02:00
iPhone18 Pro Max 银灰色意外泄露		3389176	3	20260706	20260706_10:11:44
王力宏演唱会摔倒 面部出血		3389223	2	20260706	20260706_10:21:46
内蒙古运输车事故已致 2 死 4 伤		1185649	28	20260706	20260706_10:21:46
印度调查苹果重大泄密事件	new	3300668	3	20260706	20260706_10:31:54
美国前锋巴洛贡红牌禁赛被「缓刑」	new	3073935	6	20260706	20260706_11:11:36
十人英格兰3-2淘汰墨西哥	new	3757391	1	20260706	20260706_11:21:57
法国1-0巴拉圭		1682362	23	20260706	20260706_11:21:57
博主花100元请大妈逛超市		1585439	26	20260706	20260706_12:02:02
国家一级文物现「TCL 电视」字样	new	3174564	7	20260706	20260706_12:11:53
中国海军潜射战略导弹试射成功	new	3922067	1	20260706	20260706_13:21:49
巴西1-2挪威	hot	3154865	5	20260706	20260706_13:41:56
广西内涝	new	3385349	4	20260706	20260706_14:31:57
