话题	label	热度	index	在榜日期	在榜时间
西班牙领奖时阿根廷全队背过身	hot	4759702	0	20260722	20260722_00:01:50
旭旭宝宝不看周星驰新片被网暴	hot	3373487	1	20260722	20260722_00:01:50
西班牙1-0阿根廷夺世界杯冠军		3283114	2	20260722	20260722_00:01:50
云南墨江 5.0 级地震	new	3258821	3	20260722	20260722_00:01:50
人生选择模拟器	activity	3246674	4	20260722	20260722_00:01:50
韩红基金会辟谣救护车越野	new	3240601	5	20260722	20260722_00:01:50
台风「红霞」来了	new	3237564	6	20260722	20260722_00:01:50
女生高考 684 分花三千元咨询进双非	hot	3234528	7	20260722	20260722_00:01:50
雅可比猜想被AI证伪	hot	3213210	8	20260722	20260722_00:01:50
港媒曝演员谢贤去世	hot	3212394	9	20260722	20260722_00:01:50
DeepSeek V4 正式版即将发布		2880591	10	20260722	20260722_00:01:50
怡颗莓被指检出 8 种永久性化学物	hot	2836909	11	20260722	20260722_00:01:50
阿根廷首都球迷暴乱		2811924	12	20260722	20260722_00:01:50
影视飓风回应被骂装松弛感白人		2582625	13	20260722	20260722_00:01:50
姆巴佩获世界杯金靴		2569066	14	20260722	20260722_00:01:50
Bin 暂别赛场	hot	2542998	15	20260722	20260722_00:01:50
KIMI K3模型正式上线		2532353	16	20260722	20260722_00:01:50
深圳地铁安检		2475621	17	20260722	20260722_00:01:50
肯德基炸鸡配西瓜引美网友热议		2448332	18	20260722	20260722_00:01:50
2026年临床医学录取分数线下降		2213487	19	20260722	20260722_00:01:50
一年超 8 万家面包店关停		2182837	20	20260722	20260722_00:01:50
医生提醒穿洞洞鞋易得脚气		2012202	21	20260722	20260722_00:01:50
2026年菲尔兹奖		2010627	22	20260722	20260722_00:01:50
樊振东解说阿根廷西班牙决赛		2005876	23	20260722	20260722_00:01:50
房东觉得房子卖亏报复买家		1923827	24	20260722	20260722_00:01:50
高考分数排名		1877756	25	20260722	20260722_00:01:50
DeepSeek V4 正式版灰测		1870499	26	20260722	20260722_00:01:50
世界杯夺冠后爆发冲突		1785603	27	20260722	20260722_00:01:50
西班牙队世界杯庆祝照裁掉特朗普		1746883	28	20260722	20260722_00:01:50
7 月 LPR 出炉		1683811	29	20260722	20260722_00:01:50
DeepSeek V4 未如期上线		1616471	28	20260722	20260722_00:21:34
央视报道乙女游戏提及恋与深空		1604764	29	20260722	20260722_00:21:34
马龙许昕全锦赛男双夺冠		2077251	19	20260722	20260722_00:41:41
武契奇辞去总统竞选政府总理		1596230	29	20260722	20260722_01:31:46
台风「红霞」来了		2266813	17	20260722	20260722_02:01:40
云南墨江 5.0 级地震		2066908	19	20260722	20260722_02:11:39
雅可比猜想被AI证伪		3188091	6	20260722	20260722_02:41:29
Bin 暂别赛场		2591328	12	20260722	20260722_02:51:40
港媒曝演员谢贤去世		3161695	7	20260722	20260722_03:21:22
怡颗莓被指检出 8 种永久性化学物		2892584	8	20260722	20260722_04:01:51
韩红基金会辟谣救护车越野		1903190	21	20260722	20260722_04:41:37
八仙		1898313	22	20260722	20260722_04:51:34
央视曝乙游年龄门槛形同虚设		1735235	27	20260722	20260722_05:11:42
黄总包厢事件通报为何难以服众		1620422	29	20260722	20260722_05:51:36
旭旭宝宝不看周星驰新片被网暴		3283556	2	20260722	20260722_07:21:35
伊朗称美海军第五舰队司令部爆炸		1609815	29	20260722	20260722_07:41:33
656 分考生弃 985 选福耀科大	hot	3705674	1	20260722	20260722_07:51:36
阿根廷队长赛后首次发声		1645682	28	20260722	20260722_08:21:33
谢贤一生最痛心谢霆锋离婚		1532721	29	20260722	20260722_08:41:38
印度爆发抗议要求教育部长辞职		1513112	29	20260722	20260722_08:51:37
月之暗面回应马斯克隔空宣战		1533505	28	20260722	20260722_09:11:34
阿根廷总统发声		1512704	29	20260722	20260722_09:21:41
马来西亚宣布驱逐所有以色列人		1527993	27	20260722	20260722_09:31:46
影视飓风回应被骂装松弛感白人	hot	2947280	8	20260722	20260722_09:51:41
C 罗点赞批 FIFA 偏向阿根廷视频		1470853	29	20260722	20260722_10:11:36
英国将敬业集团旗下英钢国有化		1467717	28	20260722	20260722_10:21:33
性交易发现避孕套脱落勒索8万		1475739	28	20260722	20260722_10:51:34
阿根廷西班牙赛后冲突对话曝光		1460470	29	20260722	20260722_10:51:34
乒超禁用外协强制 U19		1474854	28	20260722	20260722_11:31:44
西班牙夺冠合影特朗普被裁掉		1470406	29	20260722	20260722_12:21:37
很多KTV没有MV了		1469959	29	20260722	20260722_12:51:37
菲方围顶冲撞中方巡逻艇		2241907	16	20260722	20260722_14:21:35
日元跌破1美元兑163日元关口		1549296	28	20260722	20260722_15:21:41
长鑫科技打新弃购658万股		1711125	23	20260722	20260722_15:41:36
冉莹颖向邹市明提出婚内收入AA制		1555322	28	20260722	20260722_15:41:36
耐克中国内地销售格局将大变		1436590	28	20260722	20260722_15:51:36
Kimi K3陷入的蒸馏风波		1404256	29	20260722	20260722_15:51:36
