话题	label	热度	index	在榜日期	在榜时间
喜羊羊新作画面疑似擦边	hot	5533061	0	20260804	20260804_00:02:03
哥哥冒用弟弟高考成绩一路读到博士	hot	5141991	1	20260804	20260804_00:02:03
宗馥莉同父异母兄弟成立新公司	hot	4064327	2	20260804	20260804_00:02:03
美国制裁洽洽瓜子思念水饺	new	3750643	3	20260804	20260804_00:02:03
人生选择模拟器	activity	3593801	4	20260804	20260804_00:02:03
河南三支一扶案件查实作弊	hot	3436959	5	20260804	20260804_00:02:03
同济大学取消教师长期聘任	hot	3363535	6	20260804	20260804_00:02:03
DeepSeek-V4 Flash正式版发布	hot	3253354	7	20260804	20260804_00:02:03
知友邓煜获得菲尔兹奖		3014781	8	20260804	20260804_00:02:03
患癌妻子申请销毁婚外胚胎遭拒	hot	2920896	9	20260804	20260804_00:02:03
青岛一仓库发生火灾		2852847	10	20260804	20260804_00:02:03
瑞幸对嘴喷奶油员工已被开除	hot	2719306	11	20260804	20260804_00:02:03
蔡崇信宣布离婚		2590469	12	20260804	20260804_00:02:03
竹知了视频被投诉下架		2518114	13	20260804	20260804_00:02:03
顾客因大盘鸡放土豆报警		2459987	14	20260804	20260804_00:02:03
精神科医生10级美颜证件照火了		2370942	15	20260804	20260804_00:02:03
儿科医生韩杰因医疗事故罪被判刑		2302029	16	20260804	20260804_00:02:03
OpenAI Astra大量解决数学猜想		2229549	17	20260804	20260804_00:02:03
柯洁夺冠后称7月下棋不足5小时		2152506	18	20260804	20260804_00:02:03
房主任 母女关系		2149535	19	20260804	20260804_00:02:03
男子为取出婚外胚胎逼原配离婚		2098754	20	20260804	20260804_00:02:03
《年会不能停2！》热映		2091263	21	20260804	20260804_00:02:03
赛里木湖打人事件7人被拘		2077531	22	20260804	20260804_00:02:03
康师傅冰红茶涨价丢市场		2058991	23	20260804	20260804_00:02:03
丘成桐作诗祝贺王虹邓煜		1952535	24	20260804	20260804_00:02:03
房主任被停演 3 个月		1849181	25	20260804	20260804_00:02:03
银鹭给维权消费者备注敲诈		1842596	26	20260804	20260804_00:02:03
雷军发布会说晚安被指营销		1815647	27	20260804	20260804_00:02:03
方程豹 7 月销量超 4 万辆		1804062	28	20260804	20260804_00:02:03
擅自买卖旧书信涉嫌违法		1768200	29	20260804	20260804_00:02:03
妈妈罚男孩一次性吃30袋魔芋爽		1748161	29	20260804	20260804_01:01:53
日本熊本灾区苦苦哀求别再送了	hot	1755010	29	20260804	20260804_01:21:51
美国制裁洽洽瓜子思念水饺	hot	3151897	7	20260804	20260804_02:01:45
孙颖莎伤情	hot	1767954	29	20260804	20260804_03:21:49
瑞幸对嘴喷奶油员工已被开除		2797777	9	20260804	20260804_03:41:30
DeepSeek-V4 Flash正式版发布		3200768	6	20260804	20260804_03:51:38
住房公积金条例重大修订		2602817	12	20260804	20260804_05:41:44
张继科参赛遭解说嘲讽		1848758	27	20260804	20260804_06:41:48
患癌妻子申请销毁婚外胚胎遭拒		3251027	3	20260804	20260804_06:51:43
河南三支一扶案件查实作弊		2824482	9	20260804	20260804_07:13:56
绿化工人留遗言后坠亡		1708100	29	20260804	20260804_07:13:56
同济大学取消教师长期聘任		3379854	2	20260804	20260804_07:31:49
男子请假奔丧遭拒后返乡被辞退		1641611	29	20260804	20260804_07:31:49
各路明星开始哭穷		1838521	26	20260804	20260804_07:51:43
竹知了视频被投诉下架	hot	2902939	9	20260804	20260804_09:41:51
