话题	label	热度	index	在榜日期	在榜时间
招商蛇口高管涉酒局伤害女性被刑拘	hot	3387978	0	20260819	20260819_00:03:14
日本人战斗分队在乌成立	hot	3314355	1	20260819	20260819_00:03:14
官方修改《住房公积金管理条例》	hot	3197964	2	20260819	20260819_00:03:14
Zhihu CLI上线	hot	3142164	3	20260819	20260819_00:03:14
时代峰峻五代被喊嘉豪	hot	3086365	4	20260819	20260819_00:03:14
DeepSeek 新定价已生效		2930510	5	20260819	20260819_00:03:14
三孩非亲生案女方当庭承认出轨	hot	2837550	6	20260819	20260819_00:03:14
协和医生用AI解决22年数学难题		2672353	7	20260819	20260819_00:03:14
比亚迪销量骤降吉利争销冠		2595728	8	20260819	20260819_00:03:14
网红小家电集体吃灰	hot	2531768	9	20260819	20260819_00:03:14
宇树科技8月19日科创板上市		2234523	10	20260819	20260819_00:03:14
蓝盈莹承认新恋情		2169868	11	20260819	20260819_00:03:14
国乒盼樊振东回归		2105214	12	20260819	20260819_00:03:14
新规禁厨余垃圾直接喂猪		2062315	13	20260819	20260819_00:03:14
日本正式实施高端机床出口管制		2047277	14	20260819	20260819_00:03:14
蔚来武汉换电站资产转由国资持有		2027871	15	20260819	20260819_00:03:14
名校父母劝女儿读中本贯通		1908328	16	20260819	20260819_00:03:14
汪海林称电影《牛来》有流量推手		1906050	17	20260819	20260819_00:03:14
欢迎来龙餐馆 细节		1861081	18	20260819	20260819_00:03:14
瑞幸七夕联名陷争议		1842596	19	20260819	20260819_00:03:14
曹云金拿郭德纲砸现挂		1809545	20	20260819	20260819_00:03:14
小米Q2财报发布		1802683	21	20260819	20260819_00:03:14
高市早苗因病遭反噬		1720635	22	20260819	20260819_00:03:14
学校回应弟弟举报哥哥冒名顶替		1643807	23	20260819	20260819_00:03:14
胖东来招军人和刑释人员		1639090	24	20260819	20260819_00:03:14
BBA集体大降价		1608414	25	20260819	20260819_00:03:14
仲树疑似洗稿		1479699	26	20260819	20260819_00:03:14
DeepSeek 涨价		1385853	27	20260819	20260819_00:03:14
华盛顿号航母也被曝厕所问题		1340749	28	20260819	20260819_00:03:14
美军「林肯」号航母问题引担忧		1311958	29	20260819	20260819_00:03:14
孙颖莎王曼昱仅差708分		1326281	29	20260819	20260819_01:21:44
女子称就诊遭男医生猥亵		1405594	27	20260819	20260819_01:51:43
胖东来被指招强奸犯		1305582	29	20260819	20260819_02:22:00
失落的“沿海大省”要翻身了		1298460	29	20260819	20260819_02:52:05
华尔街警告全球粮食危机		1288557	28	20260819	20260819_03:42:19
外交部改称靖国神社为战犯神社		1259563	29	20260819	20260819_03:42:19
九部门联手力挺县域消费		1252362	29	20260819	20260819_04:22:44
日本人战斗分队在乌成立		3243081	4	20260819	20260819_06:12:01
年轻人不接盘任何刚需都会倒塌	hot	2214267	11	20260819	20260819_07:22:00
官方修改《住房公积金管理条例》		3355022	2	20260819	20260819_07:31:48
曹骏 蓝盈莹	hot	2000924	16	20260819	20260819_07:31:48
