话题	label	热度	index	在榜日期	在榜时间
44岁爸爸因叛逆期女儿考研上985	hot	3962257	0	20260809	20260809_00:02:06
台风白海豚	hot	3695813	1	20260809	20260809_00:02:06
鸿蒙智行回应「竹知了」事件	hot	3429368	2	20260809	20260809_00:02:06
Zhihu CLI上线	hot	3353358	3	20260809	20260809_00:02:06
日本网红 mina 在韩国直播时自杀	hot	3277348	4	20260809	20260809_00:02:06
笔试前 13 被淘汰后 5 进体检	hot	3082000	5	20260809	20260809_00:02:06
河南三支一扶考试存组织作弊犯罪	hot	3057742	6	20260809	20260809_00:02:06
丈夫坠亡百万赔偿款妻女仅得3万	hot	2999016	7	20260809	20260809_00:02:06
北京购房政策调整	hot	2975163	8	20260809	20260809_00:02:06
宇树科技发行价 150.80 元/股		2943722	9	20260809	20260809_00:02:06
河南撤回带薪错峰休假通知		2756786	10	20260809	20260809_00:02:06
老人拿手机拍照被疯狂弹广告		2694161	11	20260809	20260809_00:02:06
儿科医生韩杰因医疗事故罪被判刑		2654797	12	20260809	20260809_00:02:06
婚外胚胎案丈夫称已销毁胚胎		2579324	13	20260809	20260809_00:02:06
韩足协7场比赛性贿赂20名裁判		2476864	14	20260809	20260809_00:02:06
第一批抱冬瓜睡觉受害者出现	hot	2443828	15	20260809	20260809_00:02:06
我国首次证实「胶球」存在		2421422	16	20260809	20260809_00:02:06
余承东称手机将大涨价		2299614	17	20260809	20260809_00:02:06
新华日报评竹知了事件		2248677	18	20260809	20260809_00:02:06
定位纠纷致外卖员被砍成植物人		2125340	19	20260809	20260809_00:02:06
竹知了视频被投诉下架		1884919	20	20260809	20260809_00:02:06
小米徐洁云回应「孩Go」言论		1827426	21	20260809	20260809_00:02:06
四川宜宾高县 4.9 级地震		1743029	22	20260809	20260809_00:02:06
《凡人修仙》传动画186集评价		1640667	23	20260809	20260809_00:02:06
字节谢欣曾为张一鸣梁汝波上级		1634966	24	20260809	20260809_00:02:06
沙特巴基斯坦土耳其防务协定		1533896	25	20260809	20260809_00:02:06
新生儿入住月子会所4 天后颅内出血进ICU		1526803	26	20260809	20260809_00:02:06
贾国龙开新店主打鲜羊料理		1501536	27	20260809	20260809_00:02:06
刚果（金）正式禁止铜钴精矿出口		1448916	28	20260809	20260809_00:02:06
梅西父亲去世		1404256	29	20260809	20260809_00:02:06
欢迎来龙餐馆热映		1475739	27	20260809	20260809_00:21:49
峰哥实名举报汪海林偷税漏税		2246042	18	20260809	20260809_00:41:53
儿科医生韩杰因医疗事故罪被判刑	hot	2721027	10	20260809	20260809_01:21:52
余承东称手机将大规模涨价	hot	2257429	18	20260809	20260809_01:41:51
樊振东媒体叙事遭质疑		1777457	22	20260809	20260809_01:41:51
雪佛兰退出中国市场		1567884	29	20260809	20260809_02:31:59
以媒称伊朗最高领袖被紧急送医		2534697	14	20260809	20260809_02:51:49
北京购房政策调整		2991966	7	20260809	20260809_03:21:42
《年会不能停！2》票房		1592775	26	20260809	20260809_03:21:42
PYL暂停解说LPL		1595541	28	20260809	20260809_03:41:51
河南三支一扶考试存组织作弊犯罪		3065928	6	20260809	20260809_04:02:03
笔试前 13 被淘汰后 5 进体检		3174526	4	20260809	20260809_04:51:44
丈夫坠亡百万赔偿款妻女仅得3万		3060251	5	20260809	20260809_05:21:51
直播自杀日本女网红已身亡		2221704	18	20260809	20260809_06:31:56
国乒男单横滨冠军赛全军覆没		1627262	29	20260809	20260809_06:31:56
鸿蒙智行回应「竹知了」事件		3360090	2	20260809	20260809_07:32:02
DeepSeek 将上调 API 服务定价		1994956	19	20260809	20260809_08:11:52
mina直播		1602185	29	20260809	20260809_08:11:52
河南西平刑案嫌犯已落网		1509833	27	20260809	20260809_08:51:32
中国五箭齐发反制美国		1457355	28	20260809	20260809_09:02:08
女子控诉被AI融脸带货内裤		1430788	28	20260809	20260809_09:21:45
美日联手把欧元献祭了		1429424	29	20260809	20260809_09:21:45
女子开一天空调呼吸性碱中毒		1360473	29	20260809	20260809_09:51:54
阿根廷中国行或取消		1355910	29	20260809	20260809_10:11:49
松岛辉空4比3逆转张禹珍		1254535	29	20260809	20260809_11:21:46
温岭全力搜救被卷走9岁男孩		1245038	28	20260809	20260809_11:41:47
香港立法允许拒绝抢救		1241329	29	20260809	20260809_11:41:47
余承东称手机将大规模涨价		2197374	12	20260809	20260809_11:51:54
