话题	label	热度	index	在榜日期	在榜时间
知友邓煜获得菲尔兹奖	hot	3599938	0	20260724	20260724_00:02:01
菲方围顶冲撞中方巡逻艇	hot	3589938	1	20260724	20260724_00:02:01
邓煜王虹获得菲尔兹奖	hot	3399619	2	20260724	20260724_00:02:01
644分考生误报厦大分校将复读	new	3304459	3	20260724	20260724_00:02:01
梁文锋四小时会议内容	hot	3280669	4	20260724	20260724_00:02:01
人生选择模拟器	activity	3256879	5	20260724	20260724_00:02:01
冉莹颖向邹市明提出婚内收入AA制	hot	3209299	6	20260724	20260724_00:02:01
Kimi 员工震惊 OpenAI 算力	hot	2990796	7	20260724	20260724_00:02:01
小红书否认前员工举报致IPO受阻	hot	2965096	8	20260724	20260724_00:02:01
谢贤遗产公布	hot	2722795	9	20260724	20260724_00:02:01
男子被蚊子咬失血400ml		2645025	10	20260724	20260724_00:02:01
OpenAI模型「失控」入侵AI开源社区		2520167	11	20260724	20260724_00:02:01
伊朗称袭击亚马逊巴林数据中心		2308074	12	20260724	20260724_00:02:01
乌军总司令西尔斯基被解职		2268445	13	20260724	20260724_00:02:01
网友热议睡帽是天才发明		2206760	14	20260724	20260724_00:02:01
张伟丽化妆后自己都不认识了		2172659	15	20260724	20260724_00:02:01
深圳地铁安检		2150279	16	20260724	20260724_00:02:01
情侣用 AI鉴菌竟八成有毒		2059570	17	20260724	20260724_00:02:01
高考分数排名		2021407	18	20260724	20260724_00:02:01
新能源车跨境自驾遭远程锁车30小时		1820791	19	20260724	20260724_00:02:01
演员寇占文被法院悬赏694 万		1819677	20	20260724	20260724_00:02:01
耐克中国内地销售格局将大变		1811134	21	20260724	20260724_00:02:01
酒店浴室半透明设计引隐私争议		1796895	22	20260724	20260724_00:02:01
冉莹颖拳馆项目被疑利益输送	hot	1686505	23	20260724	20260724_00:02:01
谷歌自由现金流首次转负		1677114	24	20260724	20260724_00:02:01
台风「红霞」来了		1671515	25	20260724	20260724_00:02:01
马来西亚宣布驱逐所有以色列人		1656052	26	20260724	20260724_00:02:01
游客阻止高山兀鹫吃马尸		1629521	27	20260724	20260724_00:02:01
耐克将清退中国数千家线上经销商		1590342	28	20260724	20260724_00:02:01
Kimi K3陷入蒸馏风波		1532329	29	20260724	20260724_00:02:01
梁文锋四小时投资人会议实录		1513521	28	20260724	20260724_00:21:24
反虐猫志愿者被造黄谣轻生入院		1504872	29	20260724	20260724_00:21:24
女生高考 684 分花三千元咨询进双非		1505703	28	20260724	20260724_00:51:35
疑似邹市明拳馆亏损由合伙人承担		1462292	29	20260724	20260724_00:51:35
阿根廷主帅回应失利阴谋论		1602049	27	20260724	20260724_01:51:41
冉莹颖拳馆项目被疑利益输送		1660329	25	20260724	20260724_02:31:51
小红书否认前员工举报致IPO受阻		2999492	8	20260724	20260724_02:51:44
644分考生误报厦大分校将复读	hot	2789816	9	20260724	20260724_03:01:40
王楚钦1-2徐海东		1473524	29	20260724	20260724_03:21:41
长鑫科技弃购率		1591038	27	20260724	20260724_03:51:40
谢贤遗产公布		2828651	8	20260724	20260724_04:31:48
贝克汉姆秃顶了		1434181	29	20260724	20260724_04:31:48
恋陪剧本杀擦边消费被点名		1426880	29	20260724	20260724_05:11:33
「西安女护士遭男友杀害案」二审		1426389	29	20260724	20260724_06:01:50
梁文锋四小时会议内容		3292154	3	20260724	20260724_08:31:44
644分考生误报厦大分校将复读		2953873	6	20260724	20260724_08:51:41
八仙		1701716	24	20260724	20260724_09:21:29
OpenAI模型失控		1425898	29	20260724	20260724_09:41:39
德国养老金也撑不住了		1379368	29	20260724	20260724_09:51:22
丘成桐撰文祝贺王虹邓煜获奖		1385853	28	20260724	20260724_10:21:39
樊振东代表杜塞尔多夫参赛		1379912	29	20260724	20260724_10:21:39
菲尔兹奖得主邓煜诗词选		1346641	29	20260724	20260724_10:51:34
梁文锋称克制是一种战略		1326281	27	20260724	20260724_11:11:37
C罗取消点赞		1309673	28	20260724	20260724_11:11:37
重庆彭水山体崩塌已致 11 死 50 失联		1303651	29	20260724	20260724_11:11:37
张雪峰女儿再接手三家公司		1854014	18	20260724	20260724_11:21:37
哈兰德亚马尔身价打破历史纪录		1477503	26	20260724	20260724_11:51:42
旭旭宝宝悬赏10万收集水军线索		1328725	29	20260724	20260724_11:51:42
男子台球厅拍助教屁股被行拘		1361040	27	20260724	20260724_12:21:35
邓煜知乎主页		1529969	23	20260724	20260724_12:41:46
赛里木湖景区回应工作人员打人		1374993	27	20260724	20260724_12:41:46
荣耀更换logo		1323823	29	20260724	20260724_13:01:49
319 亿腾讯「企鹅岛」疑大翻车		1446101	27	20260724	20260724_13:11:37
全国首条穿越长江高铁隧道贯通	hot	3599296	2	20260724	20260724_13:41:35
KIMI K3模型正式上线		1392775	29	20260724	20260724_15:31:46
腾讯317万年终奖员工泄密被辞退		1411921	29	20260724	20260724_15:51:49
曝演员又要降薪了		1457723	29	20260724	20260724_16:21:31
邓煜知乎主页	hot	2489740	9	20260724	20260724_16:51:34
长鑫科技 7 月 27 日上市		1458640	29	20260724	20260724_16:51:34
《功夫女足》被曝偷票房损失超4亿		1566422	29	20260724	20260724_17:11:38
谢贤遗嘱称张柏芝改嫁或失代管资格		1484928	29	20260724	20260724_17:51:35
厦大回应644分考生误报分校	hot	2043061	14	20260724	20260724_18:21:42
FIFA 将调查阿根廷赛后暴力行为		1432730	29	20260724	20260724_18:21:42
贫困生喝咖啡引争议		1441370	29	20260724	20260724_18:41:46
四位菲尔兹奖主有三位会说中文		1457723	28	20260724	20260724_18:51:44
