话题	label	热度	index	在榜日期	在榜时间
朱镕基同志逝世		4084344	0	20260813	20260813_00:02:11
郭德纲篡改红歌武汉文旅立案	hot	4074344	1	20260813	20260813_00:02:11
腾讯发布二季度财报	new	3669383	2	20260813	20260813_00:02:11
Zhihu CLI上线	hot	3466902	3	20260813	20260813_00:02:11
英仙座流星雨	new	3365662	4	20260813	20260813_00:02:11
Claude黎曼猜想获重大突破		3315041	5	20260813	20260813_00:02:11
荣耀发布会	new	3289731	6	20260813	20260813_00:02:11
同济大学取消教师长期聘任	hot	3264421	7	20260813	20260813_00:02:11
山西一实习护士晒患者隐私照		2857015	8	20260813	20260813_00:02:11
河南浙江等地暴雨	hot	2610666	9	20260813	20260813_00:02:11
易烊千玺百花奖最佳男主角		2500112	10	20260813	20260813_00:02:11
华人加密投资者叶俊德被曝全裸坠亡		2419027	11	20260813	20260813_00:02:11
台风「白海豚」致上海无锡内涝		2401431	12	20260813	20260813_00:02:11
我国首次证实「胶球」存在		2389144	13	20260813	20260813_00:02:11
上半年全国结婚登记 327.5 万对	new	2387463	14	20260813	20260813_00:02:11
《影之刃零》正式开启预售		2385781	15	20260813	20260813_00:02:11
儿子说「以后大不了送外卖」爸爸真带他去了		2338804	16	20260813	20260813_00:02:11
网红巴旦木公主晒与卢本伟结婚照	hot	2332146	17	20260813	20260813_00:02:11
婚外胚胎案丈夫称已销毁胚胎		2325488	18	20260813	20260813_00:02:11
武大靖任中国短道速滑主教练		2300582	19	20260813	20260813_00:02:11
于东来回应关闭胖东来生活广场店		2181780	20	20260813	20260813_00:02:11
BLG 首发上单 Flandre		2168947	21	20260813	20260813_00:02:11
苹果被曝正测试长鑫存储芯片		2153863	22	20260813	20260813_00:02:11
《欢迎来龙餐馆》奥斯卡		2114244	23	20260813	20260813_00:02:11
王宝强0票	hot	2064009	24	20260813	20260813_00:02:11
网红姜小柔去世		2013773	25	20260813	20260813_00:02:11
男子有姓名被当无名尸滞留太平间		1964644	26	20260813	20260813_00:02:11
百万粉网红姜小柔因车祸去世	hot	1935347	27	20260813	20260813_00:02:11
豆包否认推荐酒店抽取 12% 佣金		1906050	28	20260813	20260813_00:02:11
朱女士要求返还夫妻共同财产	hot	1894713	29	20260813	20260813_00:02:11
朱镕基同志逝世	hot	4508743	0	20260813	20260813_00:12:00
山西一实习护士晒患者隐私照	hot	2869493	8	20260813	20260813_00:12:00
小米国内首家自研发光材料量产		1898390	29	20260813	20260813_00:21:57
河南浙江等地暴雨		2628588	10	20260813	20260813_00:32:05
百万粉网红姜小柔因车祸去世		3438351	7	20260813	20260813_00:51:58
Claude黎曼猜想获重大突破	hot	2705118	11	20260813	20260813_00:51:58
华人加密投资者叶俊德被曝全裸坠亡	hot	2479998	15	20260813	20260813_00:51:58
姜小柔去世	hot	1910784	28	20260813	20260813_00:51:58
网红巴旦木公主晒与卢本伟结婚照		3378375	8	20260813	20260813_01:52:00
欢迎来龙餐馆	hot	1877756	29	20260813	20260813_01:52:00
王宝强0票		4073799	5	20260813	20260813_02:22:03
方文山方回应出轨传闻		2371977	19	20260813	20260813_02:22:03
「我听交警的」案小伙胜诉		1841527	29	20260813	20260813_02:32:06
