话题	label	热度	index	在榜日期	在榜时间
阿根廷3-2险胜佛得角	hot	3811372	0	20260704	20260704_14:58:43
官方通报西安赛格商场人员坠楼	hot	3801372	1	20260704	20260704_14:58:43
曝有人学术造假后入职浙大清华	hot	3539512	2	20260704	20260704_14:58:43
新能源汽车车船税优惠政策调整	new	3408582	3	20260704	20260704_14:58:43
蒋方舟回应遭清华教授举报论文造假	hot	3375850	4	20260704	20260704_14:58:43
哥伦比亚 1 比 0 加纳		3343117	5	20260704	20260704_14:58:43
恋与深空取消上线敖尹	hot	3277652	6	20260704	20260704_14:58:43
夫妻月入两万被登记困难职工		3065804	7	20260704	20260704_14:58:43
葡萄牙 2-1 克罗地亚		3060063	8	20260704	20260704_14:58:43
西安赛格回应商户坠亡		2906551	9	20260704	20260704_14:58:43
王楚钦1-3林德无缘美国大满贯八强		2662117	10	20260704	20260704_14:58:43
机器人伴侣定价 11.98 万至 99 万		2598160	11	20260704	20260704_14:58:43
河南高考 699 分女生要去清华学医		2571093	12	20260704	20260704_14:58:43
WTT 美国大满贯国乒男单全军覆没		2491599	13	20260704	20260704_14:58:43
西安赛格被曝违规加盖打砸抢商户		2404630	14	20260704	20260704_14:58:43
茉莉奶白侵权 LV 被判赔 1030 万		2368954	15	20260704	20260704_14:58:43
埃及5-3淘汰澳大利亚		2320549	16	20260704	20260704_14:58:43
北京韩红爱心慈善基金会发说明		2234200	17	20260704	20260704_14:58:43
任素汐发声 拒绝用女性对比拉踩		2178124	18	20260704	20260704_14:58:43
字节将要求Leader实质产出		1991866	19	20260704	20260704_14:58:43
30 岁男子被父母抓去戒网瘾		1971109	20	20260704	20260704_14:58:43
阿里内部全面禁用 Claude Code		1955848	21	20260704	20260704_14:58:43
中国男篮 vs 日本男篮 		1922352	22	20260704	20260704_14:58:43
Meta 出售剩余 AI 算力		1863759	23	20260704	20260704_14:58:43
索尼2028年起不再生产实体盘		1766477	24	20260704	20260704_14:58:43
西班牙 3-0 奥地利		1766230	25	20260704	20260704_14:58:43
黑龙江一村大面积水稻疑被投毒		1760775	26	20260704	20260704_14:58:43
BMI 标准下调 你被肥胖了吗		1732611	27	20260704	20260704_14:58:43
Papi酱自曝原生家庭创伤		1719827	28	20260704	20260704_14:58:43
A股交易新规7月6日起施行		1625317	29	20260704	20260704_14:58:43
检察官的提案	hot	1952150	22	20260704	20260704_15:01:58
王楚钦孙颖莎获混双亚军	new	3451617	6	20260704	20260704_15:21:55
清华教授再举报蒋方舟论文造假		1499019	29	20260704	20260704_16:21:43
iPhone18 Pro Max 银灰色意外泄露		2732907	10	20260704	20260704_16:31:59
日本市民大排长龙买中国相机	hot	2020478	19	20260704	20260704_17:41:42
影视飓风 直播事故		1485621	29	20260704	20260704_18:01:55
普京称俄面临命运攸关时刻		1480924	29	20260704	20260704_18:11:50
云南大理宾川4.4级地震	new	3474489	5	20260704	20260704_18:21:47
克罗地亚绝平球被吹		1914168	23	20260704	20260704_18:21:47
王楚钦孙颖莎混双获亚军		1480137	28	20260704	20260704_18:51:45
哥伦比亚 vs 加纳		1473524	29	20260704	20260704_18:51:45
Tim 和中国 Boy 起冲突		1424420	29	20260704	20260704_19:21:46
世界杯		1667768	25	20260704	20260704_19:51:36
日本修法断了女天皇之路		1396460	29	20260704	20260704_20:01:59
