话题	label	热度	index	在榜日期	在榜时间
广西南宁一水库坝体出现缺口	hot	3359281	0	20260710	20260710_00:02:11
晋江鞋厂火灾已致 28 死	hot	3354281	1	20260710	20260710_00:02:11
超强级别台风巴威持续逼近	hot	3349281	2	20260710	20260710_00:02:11
动物园灾前将猛兽锁死致多只溺亡	hot	3149861	3	20260710	20260710_00:02:11
脱口秀演员唐香玉拒不道歉被强执	hot	3036481	4	20260710	20260710_00:02:11
司晓迪疑曝与鹿晗暧昧照	hot	3013259	5	20260710	20260710_00:02:11
埃及足协正式申诉 要求调查主裁判		2990038	6	20260710	20260710_00:02:11
阿根廷 3-2 埃及		2907480	7	20260710	20260710_00:02:11
网友吐槽等退休是场骗局		2874456	8	20260710	20260710_00:02:11
湖北黄冈鄂州出现龙卷风		2698879	9	20260710	20260710_00:02:11
散帅梗		2401678	10	20260710	20260710_00:02:11
东航航班乘客腹泻失禁事件		2191342	11	20260710	20260710_00:02:11
四川宜宾高县 5.0 级地震		2136865	12	20260710	20260710_00:02:11
台风巴威登陆地基本锁定闽浙		2094680	13	20260710	20260710_00:02:11
国家一级文物现「TCL 电视」字样		2093316	14	20260710	20260710_00:02:11
大胃袋良子最新体检报告发布		1974818	15	20260710	20260710_00:02:11
冉莹颖邹市明三次离婚没离成		1966259	16	20260710	20260710_00:02:11
洪灾已致广西39死9失联		1923045	17	20260710	20260710_00:02:11
高考分数排名		1914917	18	20260710	20260710_00:02:11
小米汽车新产品定名 SKYNOMAD		1913793	19	20260710	20260710_00:02:11
广西洪水致养蛇场眼镜蛇逃逸		1891207	20	20260710	20260710_00:02:11
小红书遭举报存在VIE信披矛盾等问题		1871512	21	20260710	20260710_00:02:11
比利时官方嘲讽美国		1808733	22	20260710	20260710_00:02:11
BLG VS HLE		1795730	23	20260710	20260710_00:02:11
丹顶鹤被一把抱走其他鹤一键跟随		1783936	24	20260710	20260710_00:02:11
Grok4.5发布		1757023	25	20260710	20260710_00:02:11
特朗普要求切断美国与西班牙贸易		1754001	26	20260710	20260710_00:02:11
BLG 3:1 HLE 晋级决赛		1749436	27	20260710	20260710_00:02:11
知名经济学家高善文去世		1732874	28	20260710	20260710_00:02:11
关晓彤 鹿晗		1564222	29	20260710	20260710_00:02:11
