话题	在榜日期	在榜时间	topic_flag	word_scheme	word	icon_desc	flag_desc	is_ad
#绵竹地震#	20260706	20260706_00:01:54	no	绵竹地震	绵竹地震	爆		no
#成都震感#	20260706	20260706_00:01:54	no	成都震感	成都震感	新		no
#数说中国经济6月成绩单#	20260706	20260706_00:01:54	yes	#数说中国经济6月成绩单#	数说中国经济6月成绩单			no
#张新成演唱会翻唱率#	20260706	20260706_00:01:54	yes	#张新成演唱会翻唱率#	张新成演唱会翻唱率		演出	no
#19块的外卖用玻璃罐装#	20260706	20260706_00:01:54	no	19块的外卖用玻璃罐装	19块的外卖用玻璃罐装			no
#未发现蒋方舟存在学术不端行为#	20260706	20260706_00:01:54	yes	#未发现蒋方舟存在学术不端行为#	未发现蒋方舟存在学术不端行为			no
#佛得角队在机场被疯狂包围#	20260706	20260706_00:01:54	yes	#佛得角队在机场被疯狂包围#	佛得角队在机场被疯狂包围	新		no
#绵竹还让不让人睡了#	20260706	20260706_00:01:54	no	绵竹还让不让人睡了	绵竹还让不让人睡了	新		no
#短发哈兰德将对阵巴西#	20260706	20260706_00:01:54	yes	#短发哈兰德将对阵巴西#	短发哈兰德将对阵巴西			no
#野狗骨头收视率#	20260706	20260706_00:01:54	no	野狗骨头收视率	野狗骨头收视率		剧集	no
#迪丽热巴全程都很不自在#	20260706	20260706_00:01:54	yes	#迪丽热巴全程都很不自在#	迪丽热巴全程都很不自在	新		no
#微信能不能别给表情取名字了#	20260706	20260706_00:01:54	no	微信能不能别给表情取名字了	微信能不能别给表情取名字了			no
#霉霉婚前协议堪称史上最复杂#	20260706	20260706_00:01:54	yes	#霉霉婚前协议堪称史上最复杂#	霉霉婚前协议堪称史上最复杂	热		no
#王力宏缝了39针#	20260706	20260706_00:01:54	yes	#王力宏缝了39针#	王力宏缝了39针		演出	no
#绵阳震感#	20260706	20260706_00:01:54	no	绵阳震感	绵阳震感	新		no
#迪丽热巴深V开到腰了#	20260706	20260706_00:01:54	yes	#迪丽热巴深V开到腰了#	迪丽热巴深V开到腰了	热		no
#有线耳机此生从此分明了#	20260706	20260706_00:01:54	yes	#有线耳机此生从此分明了#	有线耳机此生从此分明了	新		no
#伊朗已故最高领袖哈梅内伊三子现身#	20260706	20260706_00:01:54	yes	#伊朗已故最高领袖哈梅内伊三子现身#	伊朗已故最高领袖哈梅内伊三子现身			no
#男子曾承认养6年儿子非亲生是剧本#	20260706	20260706_00:01:54	no	男子曾承认养6年儿子非亲生是剧本	男子曾承认养6年儿子非亲生是剧本	新		no
#64岁男子出门下棋蹊跷失踪一个月#	20260706	20260706_00:01:54	yes	#64岁男子出门下棋蹊跷失踪一个月#	64岁男子出门下棋蹊跷失踪一个月	新		no
#计算机跌出本科专业月收入前十#	20260706	20260706_00:01:54	yes	#计算机跌出本科专业月收入前十#	计算机跌出本科专业月收入前十	新		no
#我欲乘风男主#	20260706	20260706_00:01:54	no	我欲乘风男主	我欲乘风男主		剧集	no
#物价悄悄上涨真的很可怕#	20260706	20260706_00:01:54	no	物价悄悄上涨真的很可怕	物价悄悄上涨真的很可怕	热		no
#霉霉婚礼现场照片被泄漏#	20260706	20260706_00:01:54	yes	#霉霉婚礼现场照片被泄漏#	霉霉婚礼现场照片被泄漏	热		no
#野狗骨头没错这就是南方烧烤#	20260706	20260706_00:01:54	no	野狗骨头没错这就是南方烧烤	野狗骨头没错这就是南方烧烤		剧集	no
#F1#	20260706	20260706_00:01:54	no	F1	F1			no
#四川绵竹4.7级左右地震#	20260706	20260706_00:01:54	yes	#四川绵竹4.7级左右地震#	四川绵竹4.7级左右地震	新		no
#TF四代将重组一二班#	20260706	20260706_00:01:54	no	TF四代将重组一二班	TF四代将重组一二班	新		no
#台风#	20260706	20260706_00:01:54	no	台风	台风			no
#美国父母早上吸毒18个月婴儿溺水#	20260706	20260706_00:01:54	yes	#美国父母早上吸毒18个月婴儿溺水#	美国父母早上吸毒18个月婴儿溺水			no
#巴拉圭第99分钟了还在扒拉#	20260706	20260706_00:01:54	no	巴拉圭第99分钟了还在扒拉	巴拉圭第99分钟了还在扒拉			no
#虞书欣蚌精仿妆#	20260706	20260706_00:01:54	yes	#虞书欣蚌精仿妆#	虞书欣蚌精仿妆	新	剧集	no
#郭宇欣资源#	20260706	20260706_00:01:54	yes	#郭宇欣资源#	郭宇欣资源	新		no
#长期关系的本质是什么#	20260706	20260706_00:01:54	no	长期关系的本质是什么	长期关系的本质是什么	新		no
#我欲乘风#	20260706	20260706_00:01:54	no	我欲乘风	我欲乘风	新	剧集	no
#司机回应李要得50万奖金分配#	20260706	20260706_00:01:54	yes	#司机回应李要得50万奖金分配#	司机回应李要得50万奖金分配	新		no
#沈梦瑶工作室声明#	20260706	20260706_00:01:54	no	沈梦瑶工作室声明	沈梦瑶工作室声明	新		no
#田曦薇黄明昊向王安宇道歉#	20260706	20260706_00:01:54	yes	#田曦薇黄明昊向王安宇道歉#	田曦薇黄明昊向王安宇道歉		综艺	no
#智能体下线与责任之争#	20260706	20260706_00:01:54	no	智能体下线与责任之争	智能体下线与责任之争			no
#灿如繁星#	20260706	20260706_00:01:54	no	灿如繁星	灿如繁星		剧集	no
#卫生巾应该分坐用跟躺用#	20260706	20260706_00:01:54	no	卫生巾应该分坐用跟躺用	卫生巾应该分坐用跟躺用			no
#王橹杰第五名#	20260706	20260706_00:01:54	yes	#王橹杰第五名#	王橹杰第五名			no
#蒋敦豪鹭卓李耕耘版燃冬#	20260706	20260706_00:01:54	yes	#蒋敦豪鹭卓李耕耘版燃冬#	蒋敦豪鹭卓李耕耘版燃冬	新		no
#已经对所有自助烤肉祛魅了#	20260706	20260706_00:01:54	no	已经对所有自助烤肉祛魅了	已经对所有自助烤肉祛魅了			no
#野狗骨头cp名 陈靖可#	20260706	20260706_00:01:54	no	野狗骨头cp名 陈靖可	野狗骨头cp名 陈靖可	新	剧集	no
#虞书欣灿如繁星亚洲第一大屏#	20260706	20260706_00:01:54	yes	#虞书欣灿如繁星亚洲第一大屏#	虞书欣灿如繁星亚洲第一大屏	新	剧集	no
#U17国足3比0澳大利亚#	20260706	20260706_00:01:54	yes	#U17国足3比0澳大利亚#	U17国足3比0澳大利亚			no
#张丰毅70岁状态#	20260706	20260706_00:01:54	yes	#张丰毅70岁状态#	张丰毅70岁状态			no
#陈奕恒陈浚铭陈思罕二班#	20260706	20260706_00:01:54	yes	#陈奕恒陈浚铭陈思罕二班#	陈奕恒陈浚铭陈思罕二班			no
#特朗普将自己头像加在林肯旁边#	20260706	20260706_00:01:54	yes	#特朗普将自己头像加在林肯旁边#	特朗普将自己头像加在林肯旁边			no
#绵竹半小时三震#	20260706	20260706_00:11:44	yes	#绵竹半小时三震#	绵竹半小时三震	新		no
#长期关系的本质是什么#	20260706	20260706_00:11:44	no	长期关系的本质是什么	长期关系的本质是什么			no
#野狗骨头#	20260706	20260706_00:11:44	no	野狗骨头	野狗骨头		剧集	no
#绵竹地震#	20260706	20260706_00:21:43	no	绵竹地震	绵竹地震	新		no
#虞书欣蚌精仿妆#	20260706	20260706_00:21:43	yes	#虞书欣蚌精仿妆#	虞书欣蚌精仿妆		剧集	no
#郭宇欣资源#	20260706	20260706_00:21:43	yes	#郭宇欣资源#	郭宇欣资源			no
#汪苏泷祝阿根廷队夺冠#	20260706	20260706_00:21:43	yes	#汪苏泷祝阿根廷队夺冠#	汪苏泷祝阿根廷队夺冠	新	演出	no
#佛得角队在机场被疯狂包围#	20260706	20260706_00:31:50	yes	#佛得角队在机场被疯狂包围#	佛得角队在机场被疯狂包围			no
#有线耳机此生从此分明了#	20260706	20260706_00:31:50	yes	#有线耳机此生从此分明了#	有线耳机此生从此分明了			no
#LV在中国疯狂打官司#	20260706	20260706_00:31:50	yes	#LV在中国疯狂打官司#	LV在中国疯狂打官司	新		no
#你刷到的内幕可能是AI编的#	20260706	20260706_00:41:44	yes		你刷到的内幕可能是AI编的	辟谣		yes
#迪丽热巴全程都很不自在#	20260706	20260706_00:41:44	yes	#迪丽热巴全程都很不自在#	迪丽热巴全程都很不自在	热		no
#计算机跌出本科专业月收入前十#	20260706	20260706_00:41:44	yes	#计算机跌出本科专业月收入前十#	计算机跌出本科专业月收入前十	热		no
#霉霉婚礼现场照片被泄漏#	20260706	20260706_00:41:44	yes	#霉霉婚礼现场照片被泄漏#	霉霉婚礼现场照片被泄漏			no
#TF四代将重组一二班#	20260706	20260706_00:41:44	no	TF四代将重组一二班	TF四代将重组一二班			no
#林宥嘉想让蔡徐坤写词#	20260706	20260706_00:41:44	no	林宥嘉想让蔡徐坤写词	林宥嘉想让蔡徐坤写词	新		no
#边水往事 悬案#	20260706	20260706_00:41:44	no	边水往事 悬案	边水往事 悬案	新	剧集	no
#兰蔻菁纯MD驭时补剂精华发布会#	20260706	20260706_00:51:42	yes		兰蔻菁纯MD驭时补剂精华发布会	官宣		yes
#成都震感#	20260706	20260706_00:51:42	no	成都震感	成都震感			no
#绵竹地震#	20260706	20260706_00:51:42	no	绵竹地震	绵竹地震	热		no
#计算机跌出本科专业月收入前十#	20260706	20260706_00:51:42	yes	#计算机跌出本科专业月收入前十#	计算机跌出本科专业月收入前十			no
#LV在中国疯狂打官司#	20260706	20260706_00:51:42	yes	#LV在中国疯狂打官司#	LV在中国疯狂打官司			no
#哈兰德说被加布抓伤对女友难交代#	20260706	20260706_00:51:42	yes	#哈兰德说被加布抓伤对女友难交代#	哈兰德说被加布抓伤对女友难交代	新		no
#KPL夏季赛第一轮大结局#	20260706	20260706_01:02:01	yes	#KPL夏季赛第一轮大结局#	KPL夏季赛第一轮大结局	新		no
#新疆遭泥石流卷走母子遗体被找到#	20260706	20260706_01:02:01	yes	#新疆遭泥石流卷走母子遗体被找到#	新疆遭泥石流卷走母子遗体被找到			no
#宋威龙cvb无败绩#	20260706	20260706_01:02:01	yes	#宋威龙cvb无败绩#	宋威龙cvb无败绩		剧集	no
#四川绵竹4.7级左右地震#	20260706	20260706_01:02:01	yes	#四川绵竹4.7级左右地震#	四川绵竹4.7级左右地震			no
#绵阳震感#	20260706	20260706_01:02:01	no	绵阳震感	绵阳震感			no
#丁程鑫好六镜头被剪#	20260706	20260706_01:02:01	no	丁程鑫好六镜头被剪	丁程鑫好六镜头被剪		综艺	no
#18岁暑假工干活太好约定3千老板开1万#	20260706	20260706_01:02:01	yes	#18岁暑假工干活太好约定3千老板开1万#	18岁暑假工干活太好约定3千老板开1万			no
#佛得角队回国了#	20260706	20260706_01:02:01	yes	#佛得角队回国了#	佛得角队回国了			no
#超强台风巴威下周将影响我国#	20260706	20260706_01:02:01	yes	#超强台风巴威下周将影响我国#	超强台风巴威下周将影响我国	新		no
#理解人性是一种永远吃香的能力#	20260706	20260706_01:02:01	no	理解人性是一种永远吃香的能力	理解人性是一种永远吃香的能力	新		no
#王曼昱首位集齐五大满贯女双#	20260706	20260706_01:02:01	no	王曼昱首位集齐五大满贯女双	王曼昱首位集齐五大满贯女双			no
#19块的外卖用玻璃罐装#	20260706	20260706_01:11:47	no	19块的外卖用玻璃罐装	19块的外卖用玻璃罐装	热		no
#我欲乘风#	20260706	20260706_01:11:47	no	我欲乘风	我欲乘风		剧集	no
#野狗骨头cp名 陈靖可#	20260706	20260706_01:11:47	no	野狗骨头cp名 陈靖可	野狗骨头cp名 陈靖可		剧集	no
#男孩吃AI鉴定无毒蘑菇后进ICU#	20260706	20260706_01:11:47	yes	#男孩吃AI鉴定无毒蘑菇后进ICU#	男孩吃AI鉴定无毒蘑菇后进ICU	新		no
#司机回应李要得50万奖金分配#	20260706	20260706_01:11:47	yes	#司机回应李要得50万奖金分配#	司机回应李要得50万奖金分配			no
#KPL夏季赛第一轮大结局#	20260706	20260706_01:11:47	yes	#KPL夏季赛第一轮大结局#	KPL夏季赛第一轮大结局			no
#藏马熊进酒店跟开罐头似的#	20260706	20260706_01:11:47	no	藏马熊进酒店跟开罐头似的	藏马熊进酒店跟开罐头似的	新		no
#虞书欣陈靖可灿如繁星热度破7400#	20260706	20260706_01:21:48	yes	#虞书欣陈靖可灿如繁星热度破7400#	虞书欣陈靖可灿如繁星热度破7400	新	剧集	no
#绵竹还让不让人睡了#	20260706	20260706_01:21:48	no	绵竹还让不让人睡了	绵竹还让不让人睡了			no
#绵竹地震#	20260706	20260706_01:21:48	no	绵竹地震	绵竹地震			no
#LV在中国疯狂打官司#	20260706	20260706_01:21:48	yes	#LV在中国疯狂打官司#	LV在中国疯狂打官司	热		no
#TCL回应国家一级文物上有其广告#	20260706	20260706_01:21:48	yes	#TCL回应国家一级文物上有其广告#	TCL回应国家一级文物上有其广告	新		no
#男子曾承认养6年儿子非亲生是剧本#	20260706	20260706_01:21:48	yes	#男子曾承认养6年儿子非亲生是剧本#	男子曾承认养6年儿子非亲生是剧本			no
#PEL#	20260706	20260706_01:31:55	no	PEL	PEL	新		no
#绵竹半小时三震#	20260706	20260706_01:41:42	yes	#绵竹半小时三震#	绵竹半小时三震	热		no
#AG战胜DYG#	20260706	20260706_01:41:42	no	AG战胜DYG	AG战胜DYG	新		no
#汪苏泷祝阿根廷队夺冠#	20260706	20260706_01:51:46	yes	#汪苏泷祝阿根廷队夺冠#	汪苏泷祝阿根廷队夺冠		演出	no
#边水往事 悬案#	20260706	20260706_02:11:50	no	边水往事 悬案	边水往事 悬案		剧集	no
#热水器付了钱10年后才想到提货#	20260706	20260706_02:11:50	yes	#热水器付了钱10年后才想到提货#	热水器付了钱10年后才想到提货	新		no
#哈兰德说被加布抓伤对女友难交代#	20260706	20260706_02:21:47	yes	#哈兰德说被加布抓伤对女友难交代#	哈兰德说被加布抓伤对女友难交代			no
#绵竹半小时三震#	20260706	20260706_02:31:49	yes	#绵竹半小时三震#	绵竹半小时三震			no
#理解人性是一种永远吃香的能力#	20260706	20260706_02:31:49	no	理解人性是一种永远吃香的能力	理解人性是一种永远吃香的能力			no
#超强台风巴威下周将影响我国#	20260706	20260706_02:31:49	yes	#超强台风巴威下周将影响我国#	超强台风巴威下周将影响我国			no
#藏马熊进酒店跟开罐头似的#	20260706	20260706_02:41:45	no	藏马熊进酒店跟开罐头似的	藏马熊进酒店跟开罐头似的			no
#物价悄悄上涨真的很可怕#	20260706	20260706_02:41:45	no	物价悄悄上涨真的很可怕	物价悄悄上涨真的很可怕			no
#突然的陀螺已4000万播放#	20260706	20260706_02:41:45	yes	#突然的陀螺已4000万播放#	突然的陀螺已4000万播放	新		no
#有线耳机此生从此分明了#	20260706	20260706_02:51:41	yes	#有线耳机此生从此分明了#	有线耳机此生从此分明了	热		no
#虞书欣陈靖可灿如繁星热度破7400#	20260706	20260706_02:51:41	yes	#虞书欣陈靖可灿如繁星热度破7400#	虞书欣陈靖可灿如繁星热度破7400		剧集	no
#TCL回应国家一级文物上有其广告#	20260706	20260706_02:51:41	yes	#TCL回应国家一级文物上有其广告#	TCL回应国家一级文物上有其广告	热		no
#PEL#	20260706	20260706_03:01:56	no	PEL	PEL			no
#凌晨5点的咖啡店#	20260706	20260706_03:01:56	no	凌晨5点的咖啡店	凌晨5点的咖啡店	新		no
#AG战胜DYG#	20260706	20260706_03:11:43	no	AG战胜DYG	AG战胜DYG			no
#义乌缝纫机被踩到冒烟#	20260706	20260706_03:11:43	yes	#义乌缝纫机被踩到冒烟#	义乌缝纫机被踩到冒烟	新		no
#一调多用#	20260706	20260706_03:31:52	no	一调多用	一调多用	新		no
#热水器付了钱10年后才想到提货#	20260706	20260706_03:51:41	yes	#热水器付了钱10年后才想到提货#	热水器付了钱10年后才想到提货			no
#突然的陀螺已4000万播放#	20260706	20260706_04:11:46	yes	#突然的陀螺已4000万播放#	突然的陀螺已4000万播放			no
#TCL回应国家一级文物上有其广告#	20260706	20260706_04:21:53	yes	#TCL回应国家一级文物上有其广告#	TCL回应国家一级文物上有其广告			no
#全新坦克300预售开启#	20260706	20260706_04:31:51	yes		全新坦克300预售开启	上新		yes
#凌晨5点的咖啡店#	20260706	20260706_04:31:51	no	凌晨5点的咖啡店	凌晨5点的咖啡店			no
#义乌缝纫机被踩到冒烟#	20260706	20260706_04:41:43	yes	#义乌缝纫机被踩到冒烟#	义乌缝纫机被踩到冒烟			no
#巴西VS挪威#	20260706	20260706_05:01:54	yes	#巴西VS挪威#	巴西VS挪威	新		no
#巴西点球不进#	20260706	20260706_05:01:54	yes	#巴西点球不进#	巴西点球不进	新		no
#一调多用#	20260706	20260706_05:01:54	no	一调多用	一调多用			no
#巴西半场0比0挪威#	20260706	20260706_05:11:43	no	巴西半场0比0挪威	巴西半场0比0挪威	新		no
#挪威破门被秒吹#	20260706	20260706_05:11:43	yes	#挪威破门被秒吹#	挪威破门被秒吹	新		no
#孙颖莎4比1王艺迪#	20260706	20260706_05:31:41	no	孙颖莎4比1王艺迪	孙颖莎4比1王艺迪	新		no
#孙颖莎晋级美国大满贯决赛#	20260706	20260706_05:31:41	yes	#孙颖莎晋级美国大满贯决赛#	孙颖莎晋级美国大满贯决赛	新		no
#刘耀文新歌UPIT上线#	20260706	20260706_05:41:21	yes	#刘耀文新歌UPIT上线#	刘耀文新歌UPIT上线	新	音乐	no
#哈兰德头球破门#	20260706	20260706_05:51:46	yes	#哈兰德头球破门#	哈兰德头球破门	新		no
#哈兰德梅开二度#	20260706	20260706_06:02:03	no	哈兰德梅开二度	哈兰德梅开二度	新		no
#内马尔替补出场#	20260706	20260706_06:02:03	no	内马尔替补出场	内马尔替补出场	新		no
#哈兰德#	20260706	20260706_06:11:23	no	哈兰德	哈兰德	新		no
#哈兰德又双响了#	20260706	20260706_06:11:23	yes	#哈兰德又双响了#	哈兰德又双响了	新		no
#巴西1比2挪威#	20260706	20260706_06:11:23	yes	#巴西1比2挪威#	巴西1比2挪威	新		no
#巴西VS挪威#	20260706	20260706_06:21:45	yes	#巴西VS挪威#	巴西VS挪威	爆		no
#内马尔#	20260706	20260706_06:21:45	no	内马尔	内马尔	新		no
#挪威领先巴西#	20260706	20260706_06:21:45	yes	#挪威领先巴西#	挪威领先巴西	新		no
#巴西点球不进#	20260706	20260706_06:31:55	yes	#巴西点球不进#	巴西点球不进	热		no
#内马尔哭了#	20260706	20260706_06:31:55	no	内马尔哭了	内马尔哭了	新		no
#巴西淘汰#	20260706	20260706_06:31:55	no	巴西淘汰	巴西淘汰	新		no
#挪威淘汰巴西#	20260706	20260706_06:31:55	yes	#挪威淘汰巴西#	挪威淘汰巴西	新		no
#挪威破门被秒吹#	20260706	20260706_06:41:48	yes	#挪威破门被秒吹#	挪威破门被秒吹			no
#巴西半场0比0挪威#	20260706	20260706_06:41:48	no	巴西半场0比0挪威	巴西半场0比0挪威			no
#巴西VS挪威#	20260706	20260706_07:01:59	yes	#巴西VS挪威#	巴西VS挪威	热		no
#孙颖莎晋级美国大满贯决赛#	20260706	20260706_07:01:59	yes	#孙颖莎晋级美国大满贯决赛#	孙颖莎晋级美国大满贯决赛			no
#蒯曼vs张本美和#	20260706	20260706_07:01:59	no	蒯曼vs张本美和	蒯曼vs张本美和	新		no
#五星巴西回家了#	20260706	20260706_07:01:59	yes	#五星巴西回家了#	五星巴西回家了	新		no
#孙颖莎4比1王艺迪#	20260706	20260706_07:01:59	no	孙颖莎4比1王艺迪	孙颖莎4比1王艺迪			no
#印尼找到美飞行员遗体画面曝光#	20260706	20260706_07:01:59	yes	#印尼找到美飞行员遗体画面曝光#	印尼找到美飞行员遗体画面曝光	新		no
#哈兰德敲鼓带队划船庆祝#	20260706	20260706_07:01:59	yes	#哈兰德敲鼓带队划船庆祝#	哈兰德敲鼓带队划船庆祝	新		no
#甜馨与邹市明三个儿子合体跳舞#	20260706	20260706_07:01:59	yes	#甜馨与邹市明三个儿子合体跳舞#	甜馨与邹市明三个儿子合体跳舞	新		no
#患者控诉每天要早起等医生查房#	20260706	20260706_07:11:55	yes	#患者控诉每天要早起等医生查房#	患者控诉每天要早起等医生查房	新		no
#林一在下此生分明了#	20260706	20260706_07:11:55	yes	#林一在下此生分明了#	林一在下此生分明了	新	综艺	no
#日产赛道电驱体验官#	20260706	20260706_07:11:55	yes	#日产赛道电驱体验官#	日产赛道电驱体验官			no
#字节申请热门网络梗著作权#	20260706	20260706_07:21:46	yes	#字节申请热门网络梗著作权#	字节申请热门网络梗著作权	新		no
#哈兰德头球破门#	20260706	20260706_07:21:46	no	哈兰德头球破门	哈兰德头球破门			no
#挪威是巴西唯一没战胜过的国家#	20260706	20260706_07:21:46	yes	#挪威是巴西唯一没战胜过的国家#	挪威是巴西唯一没战胜过的国家	新		no
#内马尔点球破门#	20260706	20260706_07:21:46	no	内马尔点球破门	内马尔点球破门	新		no
#哈兰德梅开二度#	20260706	20260706_07:31:57	no	哈兰德梅开二度	哈兰德梅开二度			no
#哈兰德回应淘汰巴西#	20260706	20260706_07:31:57	yes	#哈兰德回应淘汰巴西#	哈兰德回应淘汰巴西	新		no
#内马尔替补出场#	20260706	20260706_07:31:57	no	内马尔替补出场	内马尔替补出场			no
#迪丽热巴深V开到腰了#	20260706	20260706_07:31:57	yes	#迪丽热巴深V开到腰了#	迪丽热巴深V开到腰了			no
#司晓迪疑似发鹿晗#	20260706	20260706_07:31:57	yes	#司晓迪疑似发鹿晗#	司晓迪疑似发鹿晗	新		no
#巴西1比2挪威#	20260706	20260706_07:41:50	yes	#巴西1比2挪威#	巴西1比2挪威	热		no
#哈兰德#	20260706	20260706_07:41:50	no	哈兰德	哈兰德	热		no
#巴西点球不进#	20260706	20260706_07:41:50	yes	#巴西点球不进#	巴西点球不进			no
#哈兰德天神下凡#	20260706	20260706_07:41:50	yes	#哈兰德天神下凡#	哈兰德天神下凡	新		no
#司晓迪发了好多男明星#	20260706	20260706_07:41:50	yes	#司晓迪发了好多男明星#	司晓迪发了好多男明星	新		no
#霉霉婚前协议堪称史上最复杂#	20260706	20260706_07:41:50	yes	#霉霉婚前协议堪称史上最复杂#	霉霉婚前协议堪称史上最复杂			no
#墨西哥vs英格兰#	20260706	20260706_07:41:50	yes	#墨西哥vs英格兰#	墨西哥vs英格兰	新		no
#哈兰德又双响了#	20260706	20260706_07:41:50	no	哈兰德又双响了	哈兰德又双响了			no
#哈兰德#	20260706	20260706_07:51:47	no	哈兰德	哈兰德			no
#内马尔#	20260706	20260706_07:51:47	no	内马尔	内马尔			no
#马思纯直言再瘦就认不出郭麒麟了#	20260706	20260706_07:51:47	yes	#马思纯直言再瘦就认不出郭麒麟了#	马思纯直言再瘦就认不出郭麒麟了	新	综艺	no
#特朗普发文感谢国际足联#	20260706	20260706_07:51:47	yes	#特朗普发文感谢国际足联#	特朗普发文感谢国际足联	新		no
